geom,band,n,pearson_r,MAE,bias(HLS-S2),S2_col,HLS_col,S2_stat,HLS_stat
2DAP5x5,B1,0,,,,B1__2DAP5x5_MED,B1__2DAP5x5_MED,MED,MED
2DAP5x5,B11,0,,,,B11__2DAP5x5_MED,B11__2DAP5x5_MED,MED,MED
2DAP5x5,B12,0,,,,B12__2DAP5x5_MED,B12__2DAP5x5_MED,MED,MED
2DAP5x5,B2,0,,,,B2__2DAP5x5_MED,B2__2DAP5x5_MED,MED,MED
2DAP5x5,B3,0,,,,B3__2DAP5x5_MED,B3__2DAP5x5_MED,MED,MED
2DAP5x5,B4,0,,,,B4__2DAP5x5_MED,B4__2DAP5x5_MED,MED,MED
2DAP5x5,B5,0,,,,B5__2DAP5x5_MED,B5__2DAP5x5_MED,MED,MED
2DAP5x5,B6,0,,,,B6__2DAP5x5_MED,B6__2DAP5x5_MED,MED,MED
2DAP5x5,B7,0,,,,B7__2DAP5x5_MED,B7__2DAP5x5_MED,MED,MED
2DAP5x5,B8,0,,,,B8__2DAP5x5_MED,B8__2DAP5x5_MED,MED,MED
2DAP5x5,B8A,0,,,,B8A__2DAP5x5_MED,B8A__2DAP5x5_MED,MED,MED
2DAP5x5,B9,0,,,,B9__2DAP5x5_MED,B9__2DAP5x5_MED,MED,MED
BUF30m,B1,0,,,,B1__BUF30m_MED,B1__BUF30m_MED,MED,MED
BUF30m,B11,0,,,,B11__BUF30m_MED,B11__BUF30m_MED,MED,MED
BUF30m,B12,0,,,,B12__BUF30m_MED,B12__BUF30m_MED,MED,MED
BUF30m,B2,0,,,,B2__BUF30m_MED,B2__BUF30m_MED,MED,MED
BUF30m,B3,0,,,,B3__BUF30m_MED,B3__BUF30m_MED,MED,MED
BUF30m,B4,0,,,,B4__BUF30m_MED,B4__BUF30m_MED,MED,MED
BUF30m,B5,0,,,,B5__BUF30m_MED,B5__BUF30m_MED,MED,MED
BUF30m,B6,0,,,,B6__BUF30m_MED,B6__BUF30m_MED,MED,MED
BUF30m,B7,0,,,,B7__BUF30m_MED,B7__BUF30m_MED,MED,MED
BUF30m,B8,0,,,,B8__BUF30m_MED,B8__BUF30m_MED,MED,MED
BUF30m,B8A,0,,,,B8A__BUF30m_MED,B8A__BUF30m_MED,MED,MED
BUF30m,B9,0,,,,B9__BUF30m_MED,B9__BUF30m_MED,MED,MED
