band,geom,status,nnS2_raw,nnHLS_raw,nnS2_num,nnHLS_num,both_num,rows_joined,example
B1,2DAP5x5,OK,0,312,0,312,0,312,—
B11,2DAP5x5,OK,0,312,0,312,0,312,—
B12,2DAP5x5,OK,0,312,0,312,0,312,—
B2,2DAP5x5,OK,0,312,0,312,0,312,—
B3,2DAP5x5,OK,0,312,0,312,0,312,—
B4,2DAP5x5,OK,0,312,0,312,0,312,—
B5,2DAP5x5,OK,0,312,0,312,0,312,—
B6,2DAP5x5,OK,0,312,0,312,0,312,—
B7,2DAP5x5,OK,0,312,0,312,0,312,—
B8,2DAP5x5,OK,0,312,0,312,0,312,—
B8A,2DAP5x5,OK,0,312,0,312,0,312,—
B9,2DAP5x5,OK,0,312,0,312,0,312,—
B1,BUF30m,OK,0,312,0,312,0,312,—
B11,BUF30m,OK,0,312,0,312,0,312,—
B12,BUF30m,OK,0,312,0,312,0,312,—
B2,BUF30m,OK,0,312,0,312,0,312,—
B3,BUF30m,OK,0,312,0,312,0,312,—
B4,BUF30m,OK,0,312,0,312,0,312,—
B5,BUF30m,OK,0,312,0,312,0,312,—
B6,BUF30m,OK,0,312,0,312,0,312,—
B7,BUF30m,OK,0,312,0,312,0,312,—
B8,BUF30m,OK,0,312,0,312,0,312,—
B8A,BUF30m,OK,0,312,0,312,0,312,—
B9,BUF30m,OK,0,312,0,312,0,312,—
