band,geom,stat,notnull
B1,2DAP5x5_IQR,IQR,0
B1,2DAP5x5_MED,MED,0
B1,BUF30m_IQR,IQR,0
B1,BUF30m_MED,MED,0
B10,2DAP5x5_IQR,IQR,0
B10,2DAP5x5_MED,MED,0
B10,BUF30m_IQR,IQR,0
B10,BUF30m_MED,MED,0
B11,2DAP5x5_IQR,IQR,0
B11,2DAP5x5_MED,MED,0
B11,BUF30m_IQR,IQR,0
B11,BUF30m_MED,MED,0
B12,2DAP5x5_IQR,IQR,0
B12,2DAP5x5_MED,MED,0
B12,BUF30m_IQR,IQR,0
B12,BUF30m_MED,MED,0
B2,2DAP5x5_IQR,IQR,0
B2,2DAP5x5_MED,MED,0
B2,BUF30m_IQR,IQR,0
B2,BUF30m_MED,MED,0
B3,2DAP5x5_IQR,IQR,0
B3,2DAP5x5_MED,MED,0
B3,BUF30m_IQR,IQR,0
B3,BUF30m_MED,MED,0
B4,2DAP5x5_IQR,IQR,0
B4,2DAP5x5_MED,MED,0
B4,BUF30m_IQR,IQR,0
B4,BUF30m_MED,MED,0
B5,2DAP5x5_IQR,IQR,0
B5,2DAP5x5_MED,MED,0
B5,BUF30m_IQR,IQR,0
B5,BUF30m_MED,MED,0
B6,2DAP5x5_IQR,IQR,0
B6,2DAP5x5_MED,MED,0
B6,BUF30m_IQR,IQR,0
B6,BUF30m_MED,MED,0
B7,2DAP5x5_IQR,IQR,0
B7,2DAP5x5_MED,MED,0
B7,BUF30m_IQR,IQR,0
B7,BUF30m_MED,MED,0
B8,2DAP5x5_IQR,IQR,0
B8,2DAP5x5_MED,MED,0
B8,BUF30m_IQR,IQR,0
B8,BUF30m_MED,MED,0
B8A,2DAP5x5_IQR,IQR,0
B8A,2DAP5x5_MED,MED,0
B8A,BUF30m_IQR,IQR,0
B8A,BUF30m_MED,MED,0
B9,2DAP5x5_IQR,IQR,0
B9,2DAP5x5_MED,MED,0
B9,BUF30m_IQR,IQR,0
B9,BUF30m_MED,MED,0
