base,target,model,source,cv,r2,rmse,mae,file
D5,CP,hgb,clim,gkfold,0.3347059447350643,1.9054444329889126,1.5386548451021498,/workspace/reports/exp02/exp02_D5_CP_hgb_clim_gkfold.csv
D5,CP,hgb,clim,lodo,-0.30386623773053506,1.7076843802476165,1.5091691136045253,/workspace/reports/exp02/exp02_D5_CP_hgb_clim_lodo.csv
D5,CP,mlp,clim,gkfold,-0.7387614295449394,2.689439975136424,2.062428119200944,/workspace/reports/exp02/exp02_D5_CP_mlp_clim_gkfold.csv
D5,CP,mlp,clim,lodo,-2.9949983480066678,2.0855283222591114,1.8261780867662116,/workspace/reports/exp02/exp02_D5_CP_mlp_clim_lodo.csv
D5,CP,xgbnative,clim,gkfold,0.46884494399432136,1.739153614522865,1.306425916268101,/workspace/reports/exp02/exp02_D5_CP_xgbnative_clim_gkfold.csv
D5,CP,xgbnative,clim,lodo,0.08249066694941215,1.4405780742813286,1.239695415392295,/workspace/reports/exp02/exp02_D5_CP_xgbnative_clim_lodo.csv
D5,CP,hgb,noclim,gkfold,0.25133523283350534,2.058364116791501,1.6163351835580493,/workspace/reports/exp02/exp02_D5_CP_hgb_noclim_gkfold.csv
D5,CP,hgb,noclim,lodo,-0.552019586646108,1.8573575964676665,1.6121471912384207,/workspace/reports/exp02/exp02_D5_CP_hgb_noclim_lodo.csv
D5,CP,mlp,noclim,gkfold,-0.3521549960007802,2.368407730918882,1.7993529183133277,/workspace/reports/exp02/exp02_D5_CP_mlp_noclim_gkfold.csv
D5,CP,mlp,noclim,lodo,-0.7933918360728207,2.0080263420406768,1.6712170377076514,/workspace/reports/exp02/exp02_D5_CP_mlp_noclim_lodo.csv
D5,CP,xgbnative,noclim,gkfold,0.35622182095694815,1.9413379878020134,1.4793027054964163,/workspace/reports/exp02/exp02_D5_CP_xgbnative_noclim_gkfold.csv
D5,CP,xgbnative,noclim,lodo,-0.010485795359500097,1.5095069452624854,1.301528256670904,/workspace/reports/exp02/exp02_D5_CP_xgbnative_noclim_lodo.csv
D5,TDN_based_ADF,hgb,clim,gkfold,0.1832607014237561,4.358998158924694,3.5142145260755604,/workspace/reports/exp02/exp02_D5_TDN_based_ADF_hgb_clim_gkfold.csv
D5,TDN_based_ADF,hgb,clim,lodo,-0.07759908730660735,4.213774305147418,3.3941444411119557,/workspace/reports/exp02/exp02_D5_TDN_based_ADF_hgb_clim_lodo.csv
D5,TDN_based_ADF,mlp,clim,gkfold,-14.779527981263408,19.42457551745615,16.77673049156376,/workspace/reports/exp02/exp02_D5_TDN_based_ADF_mlp_clim_gkfold.csv
D5,TDN_based_ADF,mlp,clim,lodo,-13.99911471969201,13.641937415856042,12.069372442597874,/workspace/reports/exp02/exp02_D5_TDN_based_ADF_mlp_clim_lodo.csv
D5,TDN_based_ADF,xgbnative,clim,gkfold,0.42254712664524713,3.775836889588162,2.9284450822428405,/workspace/reports/exp02/exp02_D5_TDN_based_ADF_xgbnative_clim_gkfold.csv
D5,TDN_based_ADF,xgbnative,clim,lodo,0.23529230804440304,3.7067429605464186,3.0258371634075343,/workspace/reports/exp02/exp02_D5_TDN_based_ADF_xgbnative_clim_lodo.csv
D5,TDN_based_ADF,hgb,noclim,gkfold,0.18199746839364006,4.3478859448346725,3.5151537848174215,/workspace/reports/exp02/exp02_D5_TDN_based_ADF_hgb_noclim_gkfold.csv
D5,TDN_based_ADF,hgb,noclim,lodo,-0.11195345184040054,4.232977820218472,3.4171054348769347,/workspace/reports/exp02/exp02_D5_TDN_based_ADF_hgb_noclim_lodo.csv
D5,TDN_based_ADF,mlp,noclim,gkfold,-20.338759033481086,22.842573873096825,19.115074568194153,/workspace/reports/exp02/exp02_D5_TDN_based_ADF_mlp_noclim_gkfold.csv
D5,TDN_based_ADF,mlp,noclim,lodo,-18.16006441733418,16.035791449301108,13.710463036138938,/workspace/reports/exp02/exp02_D5_TDN_based_ADF_mlp_noclim_lodo.csv
D5,TDN_based_ADF,xgbnative,noclim,gkfold,0.43449185591979844,3.737273637578613,2.8590311002658177,/workspace/reports/exp02/exp02_D5_TDN_based_ADF_xgbnative_noclim_gkfold.csv
D5,TDN_based_ADF,xgbnative,noclim,lodo,0.2464019337351721,3.5839108210817234,2.935216638361731,/workspace/reports/exp02/exp02_D5_TDN_based_ADF_xgbnative_noclim_lodo.csv
