base,target,model,source,cv,r2,rmse,mae,file
D5,CP,hgb,clim,lodo,-0.30386623773053506,1.7076843802476165,1.5091691136045253,/workspace/reports/exp02/exp02_D5_CP_hgb_clim_lodo.csv
D5,CP,mlp,clim,lodo,-2.9949983480066678,2.0855283222591114,1.8261780867662116,/workspace/reports/exp02/exp02_D5_CP_mlp_clim_lodo.csv
D5,CP,xgbnative,clim,lodo,0.08249066694941215,1.4405780742813286,1.239695415392295,/workspace/reports/exp02/exp02_D5_CP_xgbnative_clim_lodo.csv
D5,CP,hgb,noclim,lodo,-0.552019586646108,1.8573575964676665,1.6121471912384207,/workspace/reports/exp02/exp02_D5_CP_hgb_noclim_lodo.csv
D5,CP,mlp,noclim,lodo,-0.7933918360728207,2.0080263420406768,1.6712170377076514,/workspace/reports/exp02/exp02_D5_CP_mlp_noclim_lodo.csv
D5,CP,xgbnative,noclim,lodo,-0.010485795359500097,1.5095069452624854,1.301528256670904,/workspace/reports/exp02/exp02_D5_CP_xgbnative_noclim_lodo.csv
D5,TDN_based_ADF,hgb,clim,lodo,-0.07759908730660735,4.213774305147418,3.3941444411119557,/workspace/reports/exp02/exp02_D5_TDN_based_ADF_hgb_clim_lodo.csv
D5,TDN_based_ADF,mlp,clim,lodo,-13.99911471969201,13.641937415856042,12.069372442597874,/workspace/reports/exp02/exp02_D5_TDN_based_ADF_mlp_clim_lodo.csv
D5,TDN_based_ADF,xgbnative,clim,lodo,0.23529230804440304,3.7067429605464186,3.0258371634075343,/workspace/reports/exp02/exp02_D5_TDN_based_ADF_xgbnative_clim_lodo.csv
D5,TDN_based_ADF,hgb,noclim,lodo,-0.11195345184040054,4.232977820218472,3.4171054348769347,/workspace/reports/exp02/exp02_D5_TDN_based_ADF_hgb_noclim_lodo.csv
D5,TDN_based_ADF,mlp,noclim,lodo,-18.16006441733418,16.035791449301108,13.710463036138938,/workspace/reports/exp02/exp02_D5_TDN_based_ADF_mlp_noclim_lodo.csv
D5,TDN_based_ADF,xgbnative,noclim,lodo,0.2464019337351721,3.5839108210817234,2.935216638361731,/workspace/reports/exp02/exp02_D5_TDN_based_ADF_xgbnative_noclim_lodo.csv
D7,CP,hgb,clim,lodo,-0.31046006946156574,1.7044349998455677,1.452962141760588,/workspace/reports/exp02/exp02_D7_CP_hgb_clim_lodo.csv
D7,CP,mlp,clim,lodo,-3.493572248328064,1.9904758656405215,1.7432565003526674,/workspace/reports/exp02/exp02_D7_CP_mlp_clim_lodo.csv
D7,CP,xgbnative,clim,lodo,0.17643423015099038,1.3648064394753843,1.1459560087738894,/workspace/reports/exp02/exp02_D7_CP_xgbnative_clim_lodo.csv
D7,CP,hgb,noclim,lodo,-0.25690046146752193,1.6928684977905055,1.4311617729581068,/workspace/reports/exp02/exp02_D7_CP_hgb_noclim_lodo.csv
D7,CP,mlp,noclim,lodo,-0.5315711395031557,1.8820470190144813,1.558792400399006,/workspace/reports/exp02/exp02_D7_CP_mlp_noclim_lodo.csv
