base,target,model,source,cv,r2,rmse,mae,file,variant
D5,CP,hgb,clim,lodo,-0.303866237730535,1.7076843802476165,1.509169113604525,/workspace/reports/exp02/exp02_D5_CP_hgb_clim_lodo.csv,full
D5,CP,mlp,clim,lodo,-2.994998348006668,2.0855283222591114,1.826178086766212,/workspace/reports/exp02/exp02_D5_CP_mlp_clim_lodo.csv,full
D5,CP,xgbnative,clim,lodo,0.0824906669494121,1.4405780742813286,1.239695415392295,/workspace/reports/exp02/exp02_D5_CP_xgbnative_clim_lodo.csv,full
D5,CP,hgb,noclim,lodo,-0.552019586646108,1.8573575964676663,1.6121471912384209,/workspace/reports/exp02/exp02_D5_CP_hgb_noclim_lodo.csv,full
D5,CP,mlp,noclim,lodo,-0.7933918360728207,2.0080263420406768,1.6712170377076514,/workspace/reports/exp02/exp02_D5_CP_mlp_noclim_lodo.csv,full
D5,CP,xgbnative,noclim,lodo,-0.0104857953595,1.5095069452624854,1.301528256670904,/workspace/reports/exp02/exp02_D5_CP_xgbnative_noclim_lodo.csv,full
D5,TDN_based_ADF,hgb,clim,lodo,-0.0775990873066073,4.213774305147418,3.394144441111956,/workspace/reports/exp02/exp02_D5_TDN_based_ADF_hgb_clim_lodo.csv,full
D5,TDN_based_ADF,mlp,clim,lodo,-13.99911471969201,13.641937415856042,12.069372442597874,/workspace/reports/exp02/exp02_D5_TDN_based_ADF_mlp_clim_lodo.csv,full
D5,TDN_based_ADF,xgbnative,clim,lodo,0.235292308044403,3.7067429605464186,3.0258371634075343,/workspace/reports/exp02/exp02_D5_TDN_based_ADF_xgbnative_clim_lodo.csv,full
D5,TDN_based_ADF,hgb,noclim,lodo,-0.1119534518404005,4.232977820218472,3.4171054348769347,/workspace/reports/exp02/exp02_D5_TDN_based_ADF_hgb_noclim_lodo.csv,full
D5,TDN_based_ADF,mlp,noclim,lodo,-18.16006441733418,16.035791449301108,13.710463036138938,/workspace/reports/exp02/exp02_D5_TDN_based_ADF_mlp_noclim_lodo.csv,full
D5,TDN_based_ADF,xgbnative,noclim,lodo,0.2464019337351721,3.5839108210817234,2.935216638361731,/workspace/reports/exp02/exp02_D5_TDN_based_ADF_xgbnative_noclim_lodo.csv,full
D7,CP,hgb,clim,lodo,-0.3104600694615657,1.7044349998455677,1.452962141760588,/workspace/reports/exp02/exp02_D7_CP_hgb_clim_lodo.csv,full
D7,CP,mlp,clim,lodo,-3.493572248328064,1.9904758656405213,1.7432565003526674,/workspace/reports/exp02/exp02_D7_CP_mlp_clim_lodo.csv,full
D7,CP,xgbnative,clim,lodo,0.1764342301509903,1.3648064394753845,1.1459560087738894,/workspace/reports/exp02/exp02_D7_CP_xgbnative_clim_lodo.csv,full
D7,CP,hgb,noclim,lodo,-0.2569004614675219,1.6928684977905055,1.4311617729581068,/workspace/reports/exp02/exp02_D7_CP_hgb_noclim_lodo.csv,full
D7,CP,mlp,noclim,lodo,-0.5315711395031557,1.8820470190144811,1.558792400399006,/workspace/reports/exp02/exp02_D7_CP_mlp_noclim_lodo.csv,full
D7,CP,xgbnative,noclim,lodo,0.0369717845133868,1.4908775358431952,1.2443734077710915,/workspace/reports/exp02/exp02_D7_CP_xgbnative_noclim_lodo.csv,full
D7,TDN_based_ADF,hgb,clim,lodo,0.0066362761196856,4.105241059469466,3.3808398378777285,/workspace/reports/exp02/exp02_D7_TDN_based_ADF_hgb_clim_lodo.csv,full
D7,TDN_based_ADF,mlp,clim,lodo,-18.90075460495772,15.017380026336657,13.392603659026106,/workspace/reports/exp02/exp02_D7_TDN_based_ADF_mlp_clim_lodo.csv,full
D7,TDN_based_ADF,xgbnative,clim,lodo,0.2771784549199705,3.480854717050311,2.8414824414953848,/workspace/reports/exp02/exp02_D7_TDN_based_ADF_xgbnative_clim_lodo.csv,full
D7,TDN_based_ADF,hgb,noclim,lodo,0.0517710570428221,3.987981165893757,3.272959461576538,/workspace/reports/exp02/exp02_D7_TDN_based_ADF_hgb_noclim_lodo.csv,full
D7,TDN_based_ADF,mlp,noclim,lodo,-23.15968840805275,17.47027217938148,14.509369945451851,/workspace/reports/exp02/exp02_D7_TDN_based_ADF_mlp_noclim_lodo.csv,full
D7,TDN_based_ADF,xgbnative,noclim,lodo,0.2995192051680501,3.5089986006918634,2.8808439490660525,/workspace/reports/exp02/exp02_D7_TDN_based_ADF_xgbnative_noclim_lodo.csv,full
