,,,mae,mae,mae,r2,r2,r2,rmse,rmse,rmse
model,,,hgb,mlp,xgbnative,hgb,mlp,xgbnative,hgb,mlp,xgbnative
base,target,source,,,,,,,,,
D5,CP,clim,1.5091691136045253,1.8261780867662116,1.239695415392295,-0.30386623773053506,-2.9949983480066678,0.08249066694941215,1.7076843802476165,2.0855283222591114,1.4405780742813286
D5,CP,noclim,1.6121471912384207,1.6712170377076514,1.301528256670904,-0.552019586646108,-0.7933918360728207,-0.010485795359500097,1.8573575964676665,2.0080263420406768,1.5095069452624854
D5,TDN_based_ADF,clim,3.3941444411119557,12.069372442597874,3.0258371634075343,-0.07759908730660735,-13.99911471969201,0.23529230804440304,4.213774305147418,13.641937415856042,3.7067429605464186
D5,TDN_based_ADF,noclim,3.4171054348769347,13.710463036138938,2.935216638361731,-0.11195345184040054,-18.16006441733418,0.2464019337351721,4.232977820218472,16.035791449301108,3.5839108210817234
D7,CP,clim,1.452962141760588,1.7432565003526674,1.1459560087738894,-0.31046006946156574,-3.493572248328064,0.17643423015099038,1.7044349998455677,1.9904758656405215,1.3648064394753843
D7,CP,noclim,1.4311617729581068,1.558792400399006,1.2443734077710915,-0.25690046146752193,-0.5315711395031557,0.036971784513386875,1.6928684977905055,1.8820470190144813,1.4908775358431952
D7,TDN_based_ADF,clim,3.3808398378777285,13.392603659026106,2.8414824414953848,0.00663627611968568,-18.900754604957722,0.2771784549199705,4.105241059469466,15.017380026336657,3.480854717050311
D7,TDN_based_ADF,noclim,3.272959461576538,14.509369945451851,2.8808439490660525,0.05177105704282215,-23.15968840805275,0.29951920516805014,3.987981165893757,17.47027217938148,3.5089986006918634
RAW,CP,clim,1.5465654460062688,1.901270310481974,1.3094597773727272,-0.06416837471393311,-1.6993857382321107,0.2210823159742002,1.8019873594638758,2.170974045698828,1.5421853259792075
RAW,CP,noclim,1.5410807357849994,1.7018142598313435,1.2731842812875311,-0.1272384657688787,-0.6441309058133595,0.2351345673717454,1.8324260556322454,2.018073825715295,1.5341044321284119
RAW,TDN_based_ADF,clim,3.420516229970641,10.473945786908818,2.8130972372441176,0.01774135735440426,-8.505572369497427,0.32896767894292284,4.119794307603398,11.681998553372013,3.4683987798491493
RAW,TDN_based_ADF,noclim,3.4669636528623147,15.333801223013054,2.830975761222126,0.007200150524109567,-22.66912715413579,0.34445195644209015,4.170787387177113,17.06850772631298,3.4475272562210453
