base,target,model,Δr2(clim-noc),Δrmse(clim-noc),Δmae(clim-noc),r2_clim,rmse_clim,r2_noc,rmse_noc
D5,CP,hgb,0.24815334891557295,-0.1496732162200498,-0.10297807763389577,-0.303866237730535,1.7076843802476165,-0.552019586646108,1.8573575964676663
D5,CP,mlp,-2.2016065119338473,0.07750198021843469,0.15496104905856067,-2.994998348006668,2.0855283222591114,-0.7933918360728207,2.0080263420406768
D5,CP,xgbnative,0.0929764623089121,-0.06892887098115685,-0.06183284127860911,0.0824906669494121,1.4405780742813286,-0.0104857953595,1.5095069452624854
D5,TDN_based_ADF,hgb,0.03435436453379319,-0.019203515071053445,-0.02296099376497862,-0.0775990873066073,4.213774305147418,-0.1119534518404005,4.232977820218472
D5,TDN_based_ADF,mlp,4.16094969764217,-2.3938540334450664,-1.6410905935410636,-13.99911471969201,13.641937415856042,-18.16006441733418,16.035791449301108
D5,TDN_based_ADF,xgbnative,-0.01110962569076912,0.12283213946469518,0.0906205250458032,0.235292308044403,3.7067429605464186,0.2464019337351721,3.5839108210817234
D7,CP,hgb,-0.0535596079940438,0.011566502055062156,0.021800368802481263,-0.3104600694615657,1.7044349998455677,-0.2569004614675219,1.6928684977905055
D7,CP,mlp,-2.962001108824908,0.10842884662604013,0.18446409995366153,-3.493572248328064,1.9904758656405213,-0.5315711395031557,1.8820470190144811
D7,CP,xgbnative,0.13946244563760352,-0.12607109636781066,-0.09841739899720214,0.1764342301509903,1.3648064394753845,0.0369717845133868,1.4908775358431952
D7,TDN_based_ADF,hgb,-0.045134780923136504,0.1172598935757092,0.1078803763011904,0.0066362761196856,4.105241059469466,0.0517710570428221,3.987981165893757
D7,TDN_based_ADF,mlp,4.258933803095033,-2.452892153044825,-1.1167662864257455,-18.90075460495772,15.017380026336657,-23.15968840805275,17.47027217938148
D7,TDN_based_ADF,xgbnative,-0.022340750248079577,-0.028143883641552403,-0.0393615075706677,0.2771784549199705,3.480854717050311,0.2995192051680501,3.5089986006918634
RAW,CP,hgb,0.06307009105494561,-0.03043869616836914,0.0054847102212693954,-0.0641683747139331,1.801987359463876,-0.1272384657688787,1.8324260556322451
RAW,CP,mlp,-1.0552548324187512,0.15290021998353298,0.19945605065063043,-1.6993857382321107,2.170974045698828,-0.6441309058133595,2.018073825715295
RAW,CP,xgbnative,-0.014052251397545207,0.008080893850795468,0.03627549608519609,0.2210823159742002,1.5421853259792075,0.2351345673717454,1.534104432128412
RAW,TDN_based_ADF,hgb,0.010541206830294698,-0.05099307957371568,-0.046447422891673806,0.0177413573544042,4.119794307603398,0.0072001505241095,4.170787387177113
RAW,TDN_based_ADF,mlp,14.163554784638363,-5.386509172940968,-4.859855436104237,-8.505572369497427,11.681998553372011,-22.66912715413579,17.06850772631298
RAW,TDN_based_ADF,xgbnative,-0.01548427749916731,0.02087152362810407,-0.017878523978008154,0.3289676789429228,3.4683987798491493,0.3444519564420901,3.4475272562210453
