base,target,model,source,r2_best,rmse_best,report_file
D5,CP,xgb,full,-0.3127616718792417,1.7644835643944794,/workspace/reports/exp01_UFMSFULL_D5_CP_xgb.csv
D5,CP,gb,full,-0.3448156326485401,1.7621378688518718,/workspace/reports/exp01_UFMSFULL_D5_CP_gb.csv
D5,TDN_based_ADF,gb,full,0.0393904573448164,4.00194759430431,/workspace/reports/exp01_UFMSFULL_D5_TDN_based_ADF_gb.csv
D5,TDN_based_ADF,xgb,full,0.0330811672214393,4.00694688198933,/workspace/reports/exp01_UFMSFULL_D5_TDN_based_ADF_xgb.csv
D7,CP,xgb,clim,-0.1960457324616632,1.7442097263666767,/workspace/reports/exp01_UFMSFULLCLIM_D7_CP_xgb.csv
D7,CP,gb,full,-0.2772595660667571,1.802098925667372,/workspace/reports/exp01_UFMSFULL_D7_CP_gb.csv
D7,TDN_based_ADF,xgb,full,0.1736907409636126,3.744525556685938,/workspace/reports/exp01_UFMSFULL_D7_TDN_based_ADF_xgb.csv
D7,TDN_based_ADF,gb,full,0.0830143531928701,3.962996016760792,/workspace/reports/exp01_UFMSFULL_D7_TDN_based_ADF_gb.csv
RAW,CP,xgb,clim,-0.2638885353680346,1.963266599111626,/workspace/reports/exp01_UFMSFULLCLIM_RAW_CP_xgb.csv
RAW,CP,mlp,clim,-0.4084102477647622,1.9404435460978264,/workspace/reports/exp01_UFMSFULLCLIM_RAW_CP_mlp.csv
RAW,TDN_based_ADF,gb,clim,0.1791088364183968,3.791716485774579,/workspace/reports/exp01_UFMSFULLCLIM_RAW_TDN_based_ADF_gb.csv
RAW,TDN_based_ADF,xgb,full,0.1306026097786057,3.913811934759151,/workspace/reports/exp01_UFMSFULL_RAW_TDN_based_ADF_xgb.csv
