base,source,target,model,gain_r2,gain_rmse,gain_mae,triple_win
D5,clim,CP,mlp,3.3414307680066684,0.7898347222591116,0.714927286766212,True
D5,clim,TDN_based_ADF,mlp,9.69018531969201,5.092505415856042,4.526406042597874,True
D5,noclim,CP,mlp,1.0079500460728208,0.6059299420406767,0.5173598377076514,True
D5,noclim,TDN_based_ADF,mlp,10.81115941733418,5.176880449301107,4.532318036138937,True
D7,clim,CP,mlp,3.878668198328064,0.7247885656405213,0.6937928003526674,True
D7,clim,TDN_based_ADF,mlp,15.735951804957718,6.9921410263366575,6.582752959026106,True
D7,noclim,CP,mlp,0.8554760395031558,0.564860819014481,0.4784042003990059,True
D7,noclim,TDN_based_ADF,mlp,18.576507408052752,8.476594179381483,6.993459345451852,True
RAW,clim,CP,mlp,2.0079001582321108,0.6578044456988281,0.6334570104819739,True
RAW,clim,TDN_based_ADF,mlp,4.780602469497428,3.5799125533720115,3.481666786908818,True
RAW,noclim,CP,mlp,0.9033647058133596,0.452901125715295,0.4362232598313436,True
RAW,noclim,TDN_based_ADF,mlp,19.54237285413579,9.50554572631298,9.271337923013052,True
