base,source,target,model,keep_fs15,Δr2(fs15-full),Δrmse(fs15-full),Δmae(fs15-full)
D5,clim,CP,hgb,True,0.3619476835264382,0.1782967079191217,0.1868206572758379
D5,clim,CP,mlp,True,3.3414307680066684,0.7898347222591116,0.714927286766212
D5,clim,CP,xgbnative,True,0.2216978135814831,0.167753402438922,0.1673473509765408
D5,noclim,CP,hgb,True,0.000764195967938,0.0039427441453783,-0.0041641153796097
D5,noclim,CP,mlp,True,1.0079500460728208,0.6059299420406767,0.5173598377076514
D5,noclim,CP,xgbnative,False,-0.0362836295643271,-0.0277670963341372,-0.0084927012214706
D5,clim,TDN_based_ADF,hgb,False,-0.0999706285936704,-0.2055045813321196,-0.1113572507219706
D5,clim,TDN_based_ADF,mlp,True,9.69018531969201,5.092505415856042,4.526406042597874
D5,clim,TDN_based_ADF,xgbnative,False,-0.0563124748614948,-0.0765716012655182,0.0004643079875061
D5,noclim,TDN_based_ADF,hgb,False,-0.0127296672379694,-0.0426803433411207,-0.0515436384465894
D5,noclim,TDN_based_ADF,mlp,True,10.81115941733418,5.176880449301107,4.532318036138937
D5,noclim,TDN_based_ADF,xgbnative,False,-0.0732774587371714,-0.2369453404792256,-0.2031915353929694
D7,clim,CP,hgb,True,0.3983083953283806,0.2322379394328058,0.1870233458450261
D7,clim,CP,mlp,True,3.878668198328064,0.7247885656405213,0.6937928003526674
D7,clim,CP,xgbnative,True,0.1360998709533014,0.096075991187331,0.1039931510414382
D7,noclim,CP,hgb,True,0.1230514697718623,0.0744816694876209,0.0382892682930322
D7,noclim,CP,mlp,True,0.8554760395031558,0.564860819014481,0.4784042003990059
D7,noclim,CP,xgbnative,True,0.0639203301960631,0.0404684502790393,0.0196752463927791
D7,clim,TDN_based_ADF,hgb,True,0.0688348904784038,0.2391584994158755,0.2882412711413056
D7,clim,TDN_based_ADF,mlp,True,15.735951804957718,6.9921410263366575,6.582752959026106
D7,clim,TDN_based_ADF,xgbnative,True,0.0891754920573685,0.1842108576375212,0.2479237027548535
D7,noclim,TDN_based_ADF,hgb,True,0.0537066591905933,0.0877233123232206,0.0792573465153467
D7,noclim,TDN_based_ADF,mlp,True,18.576507408052752,8.476594179381483,6.993459345451852
D7,noclim,TDN_based_ADF,xgbnative,True,0.0383825374237403,0.106301440163707,0.1281537338822391
RAW,clim,CP,hgb,False,-0.0743768478530417,-0.0431618657469861,-0.0390359611417256
RAW,clim,CP,mlp,True,2.0079001582321108,0.6578044456988281,0.6334570104819739
RAW,clim,CP,xgbnative,True,0.0754118170835437,0.0606192304520325,0.0853692650410959
RAW,noclim,CP,hgb,True,0.0704151552598924,0.0563640576377753,0.0592174636662039
RAW,noclim,CP,mlp,True,0.9033647058133596,0.452901125715295,0.4362232598313436
RAW,noclim,CP,xgbnative,False,0.0106201109582709,-0.0027698880952042,-0.0088463913260397
RAW,clim,TDN_based_ADF,hgb,True,0.1801037746360816,0.386977493366023,0.4269508831208952
RAW,clim,TDN_based_ADF,mlp,True,4.780602469497428,3.5799125533720115,3.481666786908818
RAW,clim,TDN_based_ADF,xgbnative,True,0.0589833195081623,0.1529623560048936,0.2394525250981525
RAW,noclim,TDN_based_ADF,hgb,True,0.0518098157198773,0.0898047700414439,-0.0075079250237868
RAW,noclim,TDN_based_ADF,mlp,True,19.54237285413579,9.50554572631298,9.271337923013052
RAW,noclim,TDN_based_ADF,xgbnative,False,-0.001089058375737,0.0812830389544139,0.0892463874242621
