feature,mean_gain,median_rank,freq_top20,n_folds
B9,8.303109178176292,2.0,1.0,13
Longwave_Rad_AVG,7.814472125126765,3.0,1.0,13
RAD_SOL,7.279676134769733,3.0,1.0,13
TEMP_MIN,6.736365385353565,4.0,0.9230769230769231,13
Radiative_Dif_AVG,2.4151827443677645,6.0,0.9230769230769231,13
Radiative_Direct_AVG,1.3255754829599307,18.0,0.6153846153846154,13
PPFD,1.125874208071484,15.0,0.6923076923076923,13
Longitude,0.9179019102683434,8.0,1.0,13
B6,0.9066491310413067,9.0,1.0,13
Latitude,0.7904706047131465,9.0,1.0,13
RAIN,0.6012440559167701,32.0,0.3076923076923077,13
TDN_based_ADF,0.5163022096340473,15.0,1.0,13
B5,0.5145038377780181,17.0,0.7692307692307693,13
B8A,0.5059575381187292,14.0,0.8461538461538461,13
GEMI,0.4905807359430652,22.0,0.46153846153846156,13
B7,0.46922066005376667,18.0,0.9230769230769231,13
SampleID,0.43782847546614134,18.0,0.5384615384615384,13
TP_SFC_AVG,0.4260691608517216,31.0,0.23076923076923078,13
EVAPOT,0.4186835852809824,21.0,0.46153846153846156,13
Delta_days,0.3867723784194543,26.0,0.38461538461538464,13
B11,0.3792492884856004,22.0,0.3076923076923077,13
B1,0.376894820194978,17.0,0.8461538461538461,13
Dew_Point,0.3753562057390809,25.0,0.3076923076923077,13
WIND_SPD,0.3717056388178697,21.0,0.46153846153846156,13
HUM_REL,0.3585865721106529,22.0,0.46153846153846156,13
B8,0.34319165578255284,22.0,0.38461538461538464,13
B4,0.3271615104033397,21.0,0.38461538461538464,13
B3,0.27050768584012985,21.0,0.46153846153846156,13
EVI,0.220427043735981,23.0,0.15384615384615385,13
LAI,0.2065817089034961,30.0,0.23076923076923078,13
NDVI,0.17452533199236944,29.0,0.3076923076923077,13
B2,0.1633984177158429,28.0,0.07692307692307693,13
NDWI,0.15494656104307908,29.0,0.07692307692307693,13
DVI,0.1424000203036345,32.0,0.07692307692307693,13
TEMP_MAX,0.1397356090064232,32.0,0.07692307692307693,13
B12,0.1357918229813759,31.0,0.15384615384615385,13
PRES_ATM,0.12024780477468784,32.0,0.15384615384615385,13
GCI,0.08909656594579037,34.0,0.0,13
SAVI,0.03395840282050463,38.0,0.0,13
