feature,mean_gain,median_rank,freq_top20,n_folds
B9,5.768800197885587,1.0,1.0,13
B6,1.5505733352441053,3.0,1.0,13
B5,1.4449049738737254,3.0,1.0,13
SampleID,0.9642486182542948,6.0,1.0,13
Longitude,0.8957685919908377,7.0,1.0,13
B8A,0.8541586169829736,6.0,1.0,13
TDN_based_ADF,0.808824571279379,7.0,1.0,13
B7,0.7318073098476117,10.0,1.0,13
Latitude,0.6424662516667292,10.0,1.0,13
Delta_days,0.6414301750751642,11.0,0.9230769230769231,13
B11,0.5531892845263848,14.0,0.9230769230769231,13
GEMI,0.515500119385811,15.0,0.7692307692307693,13
EVI,0.4973120643542363,15.0,0.9230769230769231,13
B1,0.4652125950043018,13.0,1.0,13
B4,0.4513896382772006,13.0,1.0,13
B3,0.4238706976175308,16.0,1.0,13
B8,0.40257736238149494,16.0,0.8461538461538461,13
GCI,0.3416299454581279,23.0,0.38461538461538464,13
LAI,0.3346645405086187,19.0,0.6923076923076923,13
B12,0.23717394127295569,18.0,0.6153846153846154,13
B2,0.23715443393358818,19.0,0.7692307692307693,13
DVI,0.20776707105911696,19.0,0.5384615384615384,13
NDWI,0.1708494040828485,22.0,0.38461538461538464,13
SAVI,0.10697681127259365,23.0,0.23076923076923078,13
NDVI,0.09664348169015004,23.0,0.0,13
