feature,mean_gain,median_rank,freq_top20,n_folds
B6,12.583132266998291,1.0,1.0,13
CP,5.85331392288208,6.0,1.0,13
B1,5.5909274724813605,5.0,1.0,13
B12,5.456963245685284,7.0,1.0,13
B8,5.373821845421424,5.0,0.9230769230769231,13
NDWI,5.040045738220215,7.0,1.0,13
GEMI,5.015899465634273,8.0,0.9230769230769231,13
B8A,4.746754206143892,7.0,0.9230769230769231,13
B9,4.691382884979248,8.0,0.8461538461538461,13
Delta_days,4.5905357874356785,9.0,0.9230769230769231,13
DVI,4.116542229285607,11.0,0.9230769230769231,13
Longitude,3.967449059853187,11.0,1.0,13
B11,3.7381852590120754,13.0,1.0,13
GCI,3.6863928116284885,15.0,0.7692307692307693,13
B5,3.5299803477067213,16.0,0.8461538461538461,13
Latitude,3.3991475838881273,16.0,1.0,13
EVI,3.3640299760378323,12.0,0.6923076923076923,13
B2,3.136215118261484,17.0,0.7692307692307693,13
B7,3.0271020852602444,21.0,0.46153846153846156,13
SampleID,2.917195576887864,19.0,0.9230769230769231,13
B4,2.7869533392099233,21.0,0.46153846153846156,13
B3,2.6395151798541727,20.0,0.5384615384615384,13
SAVI,2.498739228798793,22.0,0.46153846153846156,13
LAI,2.43201600588285,24.0,0.15384615384615385,13
NDVI,2.3696423310499926,22.0,0.46153846153846156,13
