feature,mean_gain,median_rank,freq_top20,n_folds
Radiative_Dif_AVG,31.044797452290855,2.0,1.0,15
RAD_SOL,22.320673751831055,2.0,1.0,15
TEMP_MAX,16.33765811920166,4.0,1.0,15
PRES_ATM,15.354074382781983,5.0,1.0,15
TEMP_MIN,15.085911965370178,4.0,0.9333333333333333,15
Radiative_Direct_AVG,14.967488479614257,6.0,0.8666666666666667,15
TP_SFC_AVG,10.79896100362142,6.0,1.0,15
EVAPOT,8.010150464375814,9.0,0.8,15
GEMI,7.779553516705831,11.0,0.8,15
B1,7.735570478439331,9.0,0.9333333333333333,15
Longitude,7.219050312042237,11.0,1.0,15
CP,7.0310491243998205,12.0,1.0,15
LAI,6.791211764017741,12.0,0.6666666666666666,15
Latitude,6.04180056254069,14.0,1.0,15
HUM_REL,5.545585330327352,15.0,0.8,15
WIND_SPD,4.587449741363526,26.0,0.4,15
B8,4.558894284566244,20.0,0.6666666666666666,15
NDWI,4.252685753504435,19.0,0.5333333333333333,15
SAVI,4.177095015843709,37.0,0.26666666666666666,15
B6,3.9388319810231525,27.0,0.26666666666666666,15
DVI,3.9018146991729736,25.0,0.4,15
B4,3.7323677221934,22.0,0.4,15
Dew_Point,3.702638626098633,30.0,0.3333333333333333,15
GCI,3.6957359155019125,22.0,0.4666666666666667,15
EVI,3.642671728134155,24.0,0.4,15
RAIN,3.5899114926656086,25.0,0.3333333333333333,15
NDVI,3.5684906323750814,22.0,0.26666666666666666,15
Delta_days,3.387151908874512,23.0,0.26666666666666666,15
B12,3.209930737813314,24.0,0.13333333333333333,15
B9,3.136889592806498,24.0,0.2,15
B7,3.0615861892700194,27.0,0.13333333333333333,15
B2,2.8891104300816854,27.0,0.2,15
B5,2.802952035268148,30.0,0.06666666666666667,15
B8A,2.6897594292958575,30.0,0.13333333333333333,15
PPFD,2.6239312609036762,37.0,0.26666666666666666,15
B11,2.6010894934336344,29.0,0.06666666666666667,15
B3,2.507192333539327,30.0,0.0,15
Longwave_Rad_AVG,2.1523213466008504,35.0,0.0,15
SampleID,2.020417849222819,35.0,0.0,15
