feature,mean_gain,median_rank,freq_top20,n_folds
Longwave_Rad_AVG,30.101369994027273,1.0,1.0,21
TEMP_MIN,7.376861572265625,2.0,1.0,21
RAD_SOL,4.533800272714524,3.0,1.0,21
RAIN,2.815058061409564,7.0,0.8571428571428571,21
SampleID,2.0066375107992265,6.0,1.0,21
Longitude,1.983642544065203,6.0,1.0,21
TDN_based_ADF,1.7137212753295898,9.0,1.0,21
WIND_SPD,1.6328131127215566,10.0,0.9523809523809523,21
Latitude,1.5292759168715704,11.0,1.0,21
B9,1.401136026495979,15.0,0.9047619047619048,21
B11,1.3518819298063005,13.0,1.0,21
Radiative_Direct_AVG,1.2873523118240493,22.0,0.42857142857142855,21
B7,1.2663457422029405,15.0,0.8095238095238095,21
NDWI,1.1959643832274847,14.0,0.7142857142857143,21
Radiative_Dif_AVG,1.1278744893414634,17.0,0.6190476190476191,21
B3,1.1002755534081232,18.0,0.8095238095238095,21
B1,1.0880657150631858,16.0,0.7142857142857143,21
PPFD,0.9988682667414347,20.0,0.5238095238095238,21
Dew_Point,0.995320255557696,20.0,0.5238095238095238,21
B8A,0.9758584783190772,19.0,0.6666666666666666,21
B6,0.9684300053687322,20.0,0.6666666666666666,21
HUM_REL,0.8608529184545789,22.0,0.42857142857142855,21
EVAPOT,0.725102289091973,26.0,0.38095238095238093,21
TP_SFC_AVG,0.7044137365051678,27.0,0.19047619047619047,21
B4,0.7023949992089045,23.0,0.2857142857142857,21
LAI,0.6880232101040227,30.0,0.23809523809523808,21
GCI,0.666276161869367,24.0,0.19047619047619047,21
NDVI,0.6029077825092134,25.0,0.23809523809523808,21
GEMI,0.5849099411141305,27.0,0.23809523809523808,21
B8,0.5723163045587993,27.0,0.0,21
TEMP_MAX,0.5521111669284957,30.0,0.14285714285714285,21
EVI,0.5227585371051516,27.0,0.09523809523809523,21
B12,0.48708246364479973,29.0,0.047619047619047616,21
B2,0.4486744645096007,30.0,0.0,21
B5,0.4398017532768704,30.0,0.047619047619047616,21
DVI,0.41477513526167187,33.0,0.14285714285714285,21
SAVI,0.34581206641381695,36.0,0.09523809523809523,21
PRES_ATM,0.3384917518567471,35.0,0.047619047619047616,21
Delta_days,0.208241066939774,37.0,0.0,21
