feature,mean_gain,median_rank,freq_top20,n_folds
SampleID,3.355048497517904,1.0,1.0,21
Longitude,2.01558974811009,3.0,1.0,21
B7,1.904224571727571,3.0,1.0,21
TDN_based_ADF,1.850919695127578,4.0,1.0,21
B5,1.598088698727744,6.0,1.0,21
Latitude,1.4902940534410023,8.0,1.0,21
B6,1.4900880455970764,7.0,1.0,21
B11,1.4502161131018685,7.0,0.9523809523809523,21
NDWI,1.2825920979181926,10.0,1.0,21
GEMI,1.244897540126528,11.0,0.9523809523809523,21
B4,1.1334078240962255,10.0,1.0,21
B8A,1.0021313045706068,13.0,0.9523809523809523,21
B1,0.8667683005332947,13.0,1.0,21
B3,0.8337347848074776,15.0,0.8571428571428571,21
LAI,0.8111847193822974,15.0,0.5714285714285714,21
B9,0.7962563193979717,17.0,0.8095238095238095,21
EVI,0.712809437087604,19.0,0.5238095238095238,21
B12,0.6918515832651229,17.0,0.7619047619047619,21
DVI,0.6653672343208676,18.0,0.7142857142857143,21
NDVI,0.6198769382068089,18.0,0.6666666666666666,21
GCI,0.6093057947499412,19.0,0.6190476190476191,21
Delta_days,0.57548041003091,19.0,0.7142857142857143,21
B8,0.5543189857687268,21.0,0.47619047619047616,21
B2,0.5042540835482734,22.0,0.42857142857142855,21
SAVI,0.18263349096689904,25.0,0.0,21
