feature,mean_gain,median_rank,freq_top20,n_folds
TEMP_MIN,48.96331060500372,1.0,1.0,21
RAD_SOL,35.11291422162737,2.0,1.0,21
TEMP_MAX,12.594436236790248,5.0,1.0,21
PRES_ATM,12.168443248385476,5.0,1.0,21
Radiative_Dif_AVG,11.63247679528736,8.0,0.6666666666666666,21
CP,10.931133906046549,6.0,1.0,21
WIND_SPD,10.385861850920177,7.0,0.9523809523809523,21
HUM_REL,9.873809814453125,9.0,0.9523809523809523,21
Latitude,9.50416678474063,9.0,1.0,21
Longitude,9.31203556060791,10.0,1.0,21
B1,9.281828358059837,8.0,0.9523809523809523,21
TP_SFC_AVG,8.025952838716053,12.0,0.9523809523809523,21
B8,6.836477733793712,14.0,0.8095238095238095,21
GEMI,6.453445275624593,18.0,0.5714285714285714,21
EVAPOT,6.440261659168062,21.0,0.47619047619047616,21
B5,6.3289447739010765,16.0,1.0,21
B12,6.2626668725694925,17.0,0.7619047619047619,21
LAI,6.096699124290829,19.0,0.5714285714285714,21
Dew_Point,5.5448228518168134,19.0,0.5714285714285714,21
NDWI,5.274568285260882,21.0,0.47619047619047616,21
Delta_days,5.256074451264881,20.0,0.5714285714285714,21
B6,5.210297471001034,22.0,0.2857142857142857,21
Radiative_Direct_AVG,5.1617091837383455,29.0,0.19047619047619047,21
DVI,5.091873430070423,22.0,0.42857142857142855,21
B9,4.671737069175357,23.0,0.2857142857142857,21
B8A,4.304575829278855,26.0,0.23809523809523808,21
PPFD,4.301241891724723,31.0,0.2857142857142857,21
B11,4.202058871587117,25.0,0.14285714285714285,21
EVI,4.122308833258493,26.0,0.14285714285714285,21
B4,4.043071054276966,29.0,0.047619047619047616,21
B7,4.027763378052485,28.0,0.14285714285714285,21
RAIN,3.9275642349606468,33.0,0.09523809523809523,21
GCI,3.828461385908581,32.0,0.047619047619047616,21
B3,3.797891230810256,28.0,0.047619047619047616,21
Longwave_Rad_AVG,3.712518873668852,35.0,0.19047619047619047,21
B2,3.534906727927072,32.0,0.0,21
NDVI,3.506820417585827,32.0,0.047619047619047616,21
SampleID,3.422134796778361,33.0,0.0,21
SAVI,2.6944177718389604,39.0,0.09523809523809523,21
