feature,mean_gain,median_rank,freq_top20,n_folds
CP,11.91636071886335,2.0,1.0,21
B12,9.8438477289109,4.0,1.0,21
GEMI,8.908238093058268,5.0,0.8571428571428571,21
B6,8.662245523361932,6.0,1.0,21
Longitude,8.386561552683512,5.0,1.0,21
B1,8.167064916519891,7.0,1.0,21
B8A,7.771553993225098,9.0,1.0,21
B5,7.410017331441243,8.0,1.0,21
EVI,7.096470355987549,9.0,0.9523809523809523,21
Latitude,6.852400915963309,10.0,1.0,21
NDWI,6.846986974988665,13.0,0.9047619047619048,21
B8,6.257021540687198,13.0,1.0,21
SampleID,6.0283652033124655,13.0,1.0,21
LAI,5.989025059200468,15.0,0.6666666666666666,21
B4,5.635005417324248,15.0,0.8095238095238095,21
B3,5.530707223074777,16.0,0.8571428571428571,21
SAVI,5.255452122007098,25.0,0.47619047619047616,21
GCI,5.133363723754883,18.0,0.7619047619047619,21
B9,4.964601494017101,17.0,0.6666666666666666,21
DVI,4.715455373128255,19.0,0.6190476190476191,21
B11,4.69907824198405,19.0,0.6666666666666666,21
Delta_days,4.694454442887079,19.0,0.7142857142857143,21
B7,4.364626532509213,21.0,0.47619047619047616,21
NDVI,4.186201561064947,23.0,0.2857142857142857,21
B2,4.087840977169218,22.0,0.2857142857142857,21
