base,target,model,r2,rmse,mae,file
D5,CP,gb,-1.7401276847996001,2.5803909018863034,2.145194340933341,/workspace/reports/exp01_LITBASE_UFMS_D5_CP_gb.csv
D5,CP,linear,-2.5691948275670335,2.87534977381852,2.4280013380735093,/workspace/reports/exp01_LITBASE_UFMS_D5_CP_linear.csv
D5,CP,mlp,-3.5478857864153754,2.901843492740751,2.3990970052351783,/workspace/reports/exp01_LITBASE_UFMS_D5_CP_mlp.csv
D5,CP,naive,-2.665668183535149,2.825616323348103,2.441676056437821,/workspace/reports/exp01_LITBASE_UFMS_D5_CP_naive.csv
D5,CP,ridge,-2.464168223491136,2.845717559845768,2.402236111131899,/workspace/reports/exp01_LITBASE_UFMS_D5_CP_ridge.csv
D5,CP,xgb,-1.9864595836462164,2.676545925393455,2.234244757728214,/workspace/reports/exp01_LITBASE_UFMS_D5_CP_xgb.csv
D5,TDN_based_ADF,gb,-1.0310472245580167,5.765415729624822,4.847489891322147,/workspace/reports/exp01_LITBASE_UFMS_D5_TDN_based_ADF_gb.csv
D5,TDN_based_ADF,linear,-0.7938554671527792,5.308896182310742,4.4454248341493905,/workspace/reports/exp01_LITBASE_UFMS_D5_TDN_based_ADF_linear.csv
D5,TDN_based_ADF,mlp,-2.6213223828910395,7.141195859602432,5.921105657306923,/workspace/reports/exp01_LITBASE_UFMS_D5_TDN_based_ADF_mlp.csv
D5,TDN_based_ADF,naive,-0.4552029945370792,5.145680633442741,4.201899418480414,/workspace/reports/exp01_LITBASE_UFMS_D5_TDN_based_ADF_naive.csv
D5,TDN_based_ADF,ridge,-0.7816453683427774,5.323417568332045,4.43386827268134,/workspace/reports/exp01_LITBASE_UFMS_D5_TDN_based_ADF_ridge.csv
D5,TDN_based_ADF,xgb,-0.8360682172607113,5.333994444163691,4.563374094889765,/workspace/reports/exp01_LITBASE_UFMS_D5_TDN_based_ADF_xgb.csv
D7,CP,gb,-1.7045030566657857,2.555766604930409,2.13321340615735,/workspace/reports/exp01_LITBASE_UFMS_D7_CP_gb.csv
D7,CP,linear,-3.503530856709675,2.8297826961283037,2.383684370413005,/workspace/reports/exp01_LITBASE_UFMS_D7_CP_linear.csv
D7,CP,mlp,-3.416443215535059,2.8386960004543225,2.356578842275334,/workspace/reports/exp01_LITBASE_UFMS_D7_CP_mlp.csv
D7,CP,naive,-2.3461085550500997,2.738185005231579,2.3303742975183335,/workspace/reports/exp01_LITBASE_UFMS_D7_CP_naive.csv
D7,CP,ridge,-2.9991157245370474,2.7775669458591126,2.335583559910847,/workspace/reports/exp01_LITBASE_UFMS_D7_CP_ridge.csv
D7,CP,xgb,-1.865444754295,2.627295028944514,2.1816159902298566,/workspace/reports/exp01_LITBASE_UFMS_D7_CP_xgb.csv
D7,TDN_based_ADF,gb,-0.7945475339926549,5.494125581878761,4.678295415368861,/workspace/reports/exp01_LITBASE_UFMS_D7_TDN_based_ADF_gb.csv
D7,TDN_based_ADF,linear,-0.6934358006325917,5.232043615129824,4.4029013365124445,/workspace/reports/exp01_LITBASE_UFMS_D7_TDN_based_ADF_linear.csv
