base,target,model,source,r2,rmse,mae,file
D5,CP,gb,full,0.2721682346912636,1.677247581404797,1.3307106226931162,/workspace/reports/tuned/D5_CP_gb_full/cv_n_estimators=200__max_depth=3__learning_rate=0.06__subsample=0.7__max_features=sqrt.csv
D5,CP,gb,full,0.2573001191221134,1.694175044919167,1.3425126671405596,/workspace/reports/tuned/D5_CP_gb_full/cv_n_estimators=400__max_depth=3__learning_rate=0.06__subsample=0.7__max_features=sqrt.csv
D5,CP,gb,full,0.24523213835367624,1.708355872371246,1.3572738973818788,/workspace/reports/tuned/D5_CP_gb_full/cv_n_estimators=800__max_depth=3__learning_rate=0.06__subsample=0.7__max_features=sqrt.csv
D5,CP,gb,full,0.2399755141195067,1.7107665401987782,1.3782395612603637,/workspace/reports/tuned/D5_CP_gb_full/cv_n_estimators=400__max_depth=2__learning_rate=0.06__subsample=0.7__max_features=sqrt.csv
D5,CP,gb,full,0.2387195050000955,1.7121696577687928,1.3838593120982938,/workspace/reports/tuned/D5_CP_gb_full/cv_n_estimators=200__max_depth=2__learning_rate=0.06__subsample=0.7__max_features=sqrt.csv
D5,CP,gb,full,0.21564502524310444,1.739406326102484,1.3998847123783502,/workspace/reports/tuned/D5_CP_gb_full/cv_n_estimators=800__max_depth=2__learning_rate=0.06__subsample=0.7__max_features=sqrt.csv
D5,CP,gb,full,0.17593023309583916,1.7439116009792535,1.4069566993143885,/workspace/reports/tuned/D5_CP_gb_full/cv_n_estimators=200__max_depth=2__learning_rate=0.1__subsample=0.7__max_features=sqrt.csv
D5,CP,gb,full,0.19955258270630238,1.7537145455062948,1.3851072240963151,/workspace/reports/tuned/D5_CP_gb_full/cv_n_estimators=400__max_depth=2__learning_rate=0.03__subsample=0.7__max_features=sqrt.csv
D5,CP,gb,full,0.19031717711959129,1.7633723656438174,1.3874877735273254,/workspace/reports/tuned/D5_CP_gb_full/cv_n_estimators=800__max_depth=2__learning_rate=0.03__subsample=0.7__max_features=sqrt.csv
D5,CP,gb,full,0.15855712148310414,1.7648425227350741,1.4216501753235318,/workspace/reports/tuned/D5_CP_gb_full/cv_n_estimators=400__max_depth=2__learning_rate=0.1__subsample=0.7__max_features=sqrt.csv
D5,CP,gb,full,0.1869488867678871,1.7694511843151637,1.4070228907828386,/workspace/reports/tuned/D5_CP_gb_full/cv_n_estimators=200__max_depth=2__learning_rate=0.03__subsample=0.7__max_features=sqrt.csv
D5,CP,gb,full,0.14790484120924496,1.7783955892418812,1.4300431129034776,/workspace/reports/tuned/D5_CP_gb_full/cv_n_estimators=800__max_depth=2__learning_rate=0.1__subsample=0.7__max_features=sqrt.csv
D5,CP,gb,full,0.16381115830201312,1.79266440019682,1.427115218684474,/workspace/reports/tuned/D5_CP_gb_full/cv_n_estimators=200__max_depth=3__learning_rate=0.1__subsample=0.7__max_features=sqrt.csv
D5,CP,gb,full,0.16128867581740577,1.7972729424581508,1.4183452046406964,/workspace/reports/tuned/D5_CP_gb_full/cv_n_estimators=400__max_depth=3__learning_rate=0.03__subsample=0.7__max_features=sqrt.csv
D5,CP,gb,full,0.16140183349946455,1.7977658044344167,1.418951145484007,/workspace/reports/tuned/D5_CP_gb_full/cv_n_estimators=200__max_depth=3__learning_rate=0.03__subsample=0.7__max_features=sqrt.csv
D5,CP,gb,full,0.14397468576541117,1.8140952304386964,1.4452508779249507,/workspace/reports/tuned/D5_CP_gb_full/cv_n_estimators=400__max_depth=3__learning_rate=0.1__subsample=0.7__max_features=sqrt.csv
D5,CP,gb,full,0.13152259791481527,1.8280077219703454,1.4444323069795808,/workspace/reports/tuned/D5_CP_gb_full/cv_n_estimators=800__max_depth=3__learning_rate=0.03__subsample=0.7__max_features=sqrt.csv
D5,CP,gb,full,0.12284307291647348,1.8360643705477209,1.4664714173614084,/workspace/reports/tuned/D5_CP_gb_full/cv_n_estimators=800__max_depth=3__learning_rate=0.1__subsample=0.7__max_features=sqrt.csv
D5,CP,gb,full,0.0935736791302472,1.8466412386245956,1.4527121397688583,/workspace/reports/tuned/D5_CP_gb_full/cv_n_estimators=200__max_depth=4__learning_rate=0.1__subsample=0.7__max_features=sqrt.csv
D5,CP,gb,full,0.08464944462897499,1.8545666877969864,1.4606050205345118,/workspace/reports/tuned/D5_CP_gb_full/cv_n_estimators=400__max_depth=4__learning_rate=0.1__subsample=0.7__max_features=sqrt.csv
D5,CP,gb,full,0.09214069823391866,1.8571899046760798,1.4518401941588523,/workspace/reports/tuned/D5_CP_gb_full/cv_n_estimators=200__max_depth=4__learning_rate=0.06__subsample=0.7__max_features=sqrt.csv
