base,target,model,source,cv,r2,rmse,mae,file
D5,CP,xgbnative,clim,lodo,0.0824906669494121,1.4405780742813286,1.239695415392295,/workspace/reports/exp02/exp02_D5_CP_xgbnative_clim_lodo.csv
D5,CP,xgbnative,noclim,lodo,-0.0104857953595,1.5095069452624854,1.301528256670904,/workspace/reports/exp02/exp02_D5_CP_xgbnative_noclim_lodo.csv
D5,TDN_based_ADF,xgbnative,clim,lodo,0.235292308044403,3.7067429605464186,3.0258371634075343,/workspace/reports/exp02/exp02_D5_TDN_based_ADF_xgbnative_clim_lodo.csv
D5,TDN_based_ADF,xgbnative,noclim,lodo,0.2464019337351721,3.5839108210817234,2.935216638361731,/workspace/reports/exp02/exp02_D5_TDN_based_ADF_xgbnative_noclim_lodo.csv
D7,CP,xgbnative,clim,lodo,0.1764342301509903,1.3648064394753845,1.1459560087738894,/workspace/reports/exp02/exp02_D7_CP_xgbnative_clim_lodo.csv
D7,CP,xgbnative,noclim,lodo,0.0369717845133868,1.4908775358431952,1.2443734077710915,/workspace/reports/exp02/exp02_D7_CP_xgbnative_noclim_lodo.csv
D7,TDN_based_ADF,xgbnative,clim,lodo,0.2771784549199705,3.480854717050311,2.8414824414953848,/workspace/reports/exp02/exp02_D7_TDN_based_ADF_xgbnative_clim_lodo.csv
D7,TDN_based_ADF,xgbnative,noclim,lodo,0.2995192051680501,3.5089986006918634,2.8808439490660525,/workspace/reports/exp02/exp02_D7_TDN_based_ADF_xgbnative_noclim_lodo.csv
RAW,CP,xgbnative,clim,lodo,0.2210823159742002,1.5421853259792075,1.3094597773727272,/workspace/reports/exp02/exp02_RAW_CP_xgbnative_clim_lodo.csv
RAW,CP,xgbnative,noclim,lodo,0.2351345673717454,1.534104432128412,1.2731842812875311,/workspace/reports/exp02/exp02_RAW_CP_xgbnative_noclim_lodo.csv
RAW,TDN_based_ADF,xgbnative,clim,lodo,0.3289676789429228,3.4683987798491493,2.8130972372441176,/workspace/reports/exp02/exp02_RAW_TDN_based_ADF_xgbnative_clim_lodo.csv
RAW,TDN_based_ADF,xgbnative,noclim,lodo,0.3444519564420901,3.4475272562210453,2.830975761222126,/workspace/reports/exp02/exp02_RAW_TDN_based_ADF_xgbnative_noclim_lodo.csv
