base,variant,target,model,r2,rmse,mae,file
D5,clim,CP,gb,-0.6534729653175974,1.9631465789724893,1.7047990592187756,/workspace/reports/exp01_UFMS_D5_clim_CP_gb.csv
D5,clim,CP,linear,-47.393035207771405,5.695145372900077,5.376258743488007,/workspace/reports/exp01_UFMS_D5_clim_CP_linear.csv
D5,clim,CP,mlp,-0.9715636005884339,2.0577007092714847,1.8165316735320072,/workspace/reports/exp01_UFMS_D5_clim_CP_mlp.csv
D5,clim,CP,naive,-2.665668183535149,2.825616323348103,2.441676056437821,/workspace/reports/exp01_UFMS_D5_clim_CP_naive.csv
D5,clim,CP,ridge,-23.06498217255849,4.457219321582891,4.184373254892188,/workspace/reports/exp01_UFMS_D5_clim_CP_ridge.csv
D5,clim,CP,xgb,-0.3282707098732814,1.7925159407674012,1.5587661128449215,/workspace/reports/exp01_UFMS_D5_clim_CP_xgb.csv
D5,clim,TDN_based_ADF,gb,-0.10310200656719447,4.277685405508527,3.41187652747324,/workspace/reports/exp01_UFMS_D5_clim_TDN_based_ADF_gb.csv
D5,clim,TDN_based_ADF,linear,-28.170418634515446,12.318601632104924,10.815149213431017,/workspace/reports/exp01_UFMS_D5_clim_TDN_based_ADF_linear.csv
D5,clim,TDN_based_ADF,mlp,-13.100135145540651,14.020012041566178,12.63233007186739,/workspace/reports/exp01_UFMS_D5_clim_TDN_based_ADF_mlp.csv
D5,clim,TDN_based_ADF,naive,-0.4552029945370792,5.145680633442741,4.201899418480414,/workspace/reports/exp01_UFMS_D5_clim_TDN_based_ADF_naive.csv
D5,clim,TDN_based_ADF,ridge,-11.3347770213265,8.805636681193846,7.738904786996903,/workspace/reports/exp01_UFMS_D5_clim_TDN_based_ADF_ridge.csv
D5,clim,TDN_based_ADF,xgb,-0.05735575296558427,4.1341943115691935,3.2907581785578346,/workspace/reports/exp01_UFMS_D5_clim_TDN_based_ADF_xgb.csv
D5,noclim,CP,gb,-0.34481563264854015,1.7621378688518718,1.5305107010368002,/workspace/reports/exp01_UFMS_D5_noclim_CP_gb.csv
D5,noclim,CP,linear,-3.3085227341685814,2.7761756556469472,2.375513930781008,/workspace/reports/exp01_UFMS_D5_noclim_CP_linear.csv
D5,noclim,CP,mlp,-1.2151801633741002,2.238910970376841,1.972561782170988,/workspace/reports/exp01_UFMS_D5_noclim_CP_mlp.csv
D5,noclim,CP,naive,-2.665668183535149,2.825616323348103,2.441676056437821,/workspace/reports/exp01_UFMS_D5_noclim_CP_naive.csv
D5,noclim,CP,ridge,-3.1245116445389365,2.7569900741299627,2.413942946857428,/workspace/reports/exp01_UFMS_D5_noclim_CP_ridge.csv
D5,noclim,CP,xgb,-0.31276167187924175,1.7644835643944794,1.5195257918989744,/workspace/reports/exp01_UFMS_D5_noclim_CP_xgb.csv
