base,target,model,r2,rmse,mae,source
D5,CP,gb,-1.2205064187013523,2.3312813831460835,2.04691158091109,exp01_D5_CP_gb.csv
D5,CP,linear,-3.3085227341685814,2.7761756556469472,2.375513930781008,exp01_D5_CP_linear.csv
D5,CP,naive,-2.665668183535149,2.825616323348103,2.441676056437821,exp01_D5_CP_naive.csv
D5,CP,ridge,-3.1245116445389365,2.7569900741299627,2.413942946857428,exp01_D5_CP_ridge.csv
D5,CP,xgb,-1.1999571147317298,2.3372289654585896,2.0428224660768604,exp01_D5_CP_xgb.csv
D7,CP,gb,-1.0607325144927715,2.317595827945641,1.9590471267633391,exp01_D7_CP_gb.csv
D7,CP,linear,-2.704492246996602,2.575972653168532,2.158772941196172,exp01_D7_CP_linear.csv
D7,CP,naive,-2.3461085550501,2.738185005231579,2.330374297518333,exp01_D7_CP_naive.csv
D7,CP,ridge,-2.626769034704595,2.575772543397716,2.2414308464094286,exp01_D7_CP_ridge.csv
D7,CP,xgb,-1.0505590226647217,2.315346151510366,1.977045294028392,exp01_D7_CP_xgb.csv
RAW,CP,gb,-1.4286647728696418,2.514342693769763,2.143247637888047,exp01_RAW_CP_gb.csv
RAW,CP,linear,-2.673387886599011,2.8454945205671858,2.463173097267708,exp01_RAW_CP_linear.csv
RAW,CP,naive,-2.31364131800224,2.8068349925532097,2.375702540505631,exp01_RAW_CP_naive.csv
RAW,CP,ridge,-1.89887083719929,2.5768299618966197,2.2255512137037416,exp01_RAW_CP_ridge.csv
RAW,CP,xgb,-1.3744325835638382,2.5535795683646723,2.186883147880852,exp01_RAW_CP_xgb.csv
D5,TDN,gb,-0.6932505507094368,5.2497121107388365,4.247097403782044,exp01_D5_TDN_gb.csv
D5,TDN,linear,-4.796296093302372,7.826183631318019,6.072798100716814,exp01_D5_TDN_linear.csv
D5,TDN,naive,-0.4552029945370792,5.145680633442741,4.201899418480414,exp01_D5_TDN_naive.csv
D5,TDN,ridge,-2.4165926837758795,6.470245591728282,5.345116018054043,exp01_D5_TDN_ridge.csv
D5,TDN,xgb,-0.8350480181949002,5.475542440666781,4.4861506937094395,exp01_D5_TDN_xgb.csv
D7,TDN,gb,-0.7340606985836434,5.492947041459681,4.571430442858266,exp01_D7_TDN_gb.csv
D7,TDN,linear,-3.638484290608339,7.068555433043318,5.620376258594797,exp01_D7_TDN_linear.csv
D7,TDN,naive,-0.4501775227133862,5.206238798949116,4.318862277110802,exp01_D7_TDN_naive.csv
D7,TDN,ridge,-2.1032785917093477,6.114762421259827,5.098973430655675,exp01_D7_TDN_ridge.csv
D7,TDN,xgb,-0.8533552157917134,5.686836257425793,4.7286674595873865,exp01_D7_TDN_xgb.csv
RAW,TDN,gb,-0.26960179294697845,4.7397491459121035,3.99958339604846,exp01_RAW_TDN_gb.csv
RAW,TDN,linear,-1.9757483616557145,5.894898127733564,4.975150833223479,exp01_RAW_TDN_linear.csv
RAW,TDN,naive,-0.5324151129015978,5.328042627757626,4.470812272399629,exp01_RAW_TDN_naive.csv
RAW,TDN,ridge,-1.4879391640576594,5.407761043652649,4.537220322725826,exp01_RAW_TDN_ridge.csv
RAW,TDN,xgb,-0.24835055548394527,4.725027219962548,3.9785823065716417,exp01_RAW_TDN_xgb.csv
