source,base,target,model,r2,rmse,mae,file
hls,D5,CP,gb,-0.34481563264854015,1.7621378688518718,1.5305107010368002,/workspace/reports/exp01_hls_D5_CP_gb.csv
hlsIDX,D5,CP,linear,-1.9757432324760096,2.5184800739760362,2.0401517992001597,/workspace/reports/exp01_hlsIDX_D5_CP_linear.csv
hls,D5,CP,mlp,-1.2151801633741002,2.238910970376841,1.972561782170988,/workspace/reports/exp01_hls_D5_CP_mlp.csv
hls,D5,CP,naive,-2.665668183535149,2.825616323348103,2.441676056437821,/workspace/reports/exp01_hls_D5_CP_naive.csv
hls,D5,CP,ridge,-3.1245116445389365,2.7569900741299627,2.413942946857428,/workspace/reports/exp01_hls_D5_CP_ridge.csv
hls,D5,CP,xgb,-0.31276167187924175,1.7644835643944794,1.5195257918989744,/workspace/reports/exp01_hls_D5_CP_xgb.csv
hlsIDX,D5,TDN_based_ADF,gb,-0.004270227920585818,3.9886221303720695,3.2185631044804657,/workspace/reports/exp01_hlsIDX_D5_TDN_based_ADF_gb.csv
LITBASE,D5,TDN_based_ADF,linear,-0.7938554671527792,5.308896182310742,4.4454248341493905,/workspace/reports/exp01_LITBASE_D5_TDN_based_ADF_linear.csv
hlsIDX,D5,TDN_based_ADF,mlp,-2.5472677361717384,6.471548716961022,5.508761174430664,/workspace/reports/exp01_hlsIDX_D5_TDN_based_ADF_mlp.csv
hlsIDX,D5,TDN_based_ADF,naive,-0.4552029945370792,5.145680633442741,4.201899418480414,/workspace/reports/exp01_hlsIDX_D5_TDN_based_ADF_naive.csv
LITBASE,D5,TDN_based_ADF,ridge,-0.7816453683427774,5.323417568332045,4.43386827268134,/workspace/reports/exp01_LITBASE_D5_TDN_based_ADF_ridge.csv
hlsIDX,D5,TDN_based_ADF,xgb,0.006816180884063853,3.980881995785466,3.1958454067057778,/workspace/reports/exp01_hlsIDX_D5_TDN_based_ADF_xgb.csv
hls,D7,CP,gb,-0.2772595660667571,1.8020989256673718,1.5030915195997316,/workspace/reports/exp01_hls_D7_CP_gb.csv
hlsIDX,D7,CP,linear,-1.8424048123455181,2.532896050722501,2.0731647572134246,/workspace/reports/exp01_hlsIDX_D7_CP_linear.csv
hlsIDX,D7,CP,mlp,-1.2537472726316496,2.2127525551874,1.8594409369950662,/workspace/reports/exp01_hlsIDX_D7_CP_mlp.csv
hls,D7,CP,naive,-2.3461085550500997,2.738185005231579,2.3303742975183335,/workspace/reports/exp01_hls_D7_CP_naive.csv
hls,D7,CP,ridge,-2.626769034704595,2.575772543397716,2.2414308464094286,/workspace/reports/exp01_hls_D7_CP_ridge.csv
hls,D7,CP,xgb,-0.2702961112041686,1.7931748909304155,1.501464460406875,/workspace/reports/exp01_hls_D7_CP_xgb.csv
hlsIDX,D7,TDN_based_ADF,gb,0.03273080868804844,3.9119999063285587,3.1547434028451207,/workspace/reports/exp01_hlsIDX_D7_TDN_based_ADF_gb.csv
LITBASE,D7,TDN_based_ADF,linear,-0.6934358006325917,5.232043615129824,4.4029013365124445,/workspace/reports/exp01_LITBASE_D7_TDN_based_ADF_linear.csv
hlsIDX,D7,TDN_based_ADF,mlp,-1.0045809697532577,5.234229000656862,4.425864470218543,/workspace/reports/exp01_hlsIDX_D7_TDN_based_ADF_mlp.csv
hlsIDX,D7,TDN_based_ADF,naive,-0.45017752271338624,5.206238798949116,4.318862277110802,/workspace/reports/exp01_hlsIDX_D7_TDN_based_ADF_naive.csv
LITBASE,D7,TDN_based_ADF,ridge,-0.6805933452005124,5.261703667301309,4.390203468309815,/workspace/reports/exp01_LITBASE_D7_TDN_based_ADF_ridge.csv
hls,D7,TDN_based_ADF,xgb,0.17369074096361264,3.744525556685938,3.050105875552133,/workspace/reports/exp01_hls_D7_TDN_based_ADF_xgb.csv
hls,RAW,CP,gb,-0.6847289593298049,2.1016284795100444,1.7823920690517028,/workspace/reports/exp01_hls_RAW_CP_gb.csv
LITBASE,RAW,CP,linear,-2.160831360232528,2.7402441024946973,2.2961353165174363,/workspace/reports/exp01_LITBASE_RAW_CP_linear.csv
hlsIDX,RAW,CP,mlp,-1.0022110590476005,2.2110145612023624,1.9250945334099747,/workspace/reports/exp01_hlsIDX_RAW_CP_mlp.csv
hls,RAW,CP,naive,-2.3136413180022397,2.80683499255321,2.375702540505631,/workspace/reports/exp01_hls_RAW_CP_naive.csv
hls,RAW,CP,ridge,-1.89887083719929,2.5768299618966197,2.2255512137037416,/workspace/reports/exp01_hls_RAW_CP_ridge.csv
hls,RAW,CP,xgb,-0.6199775054645832,2.063504595323275,1.7659780381409873,/workspace/reports/exp01_hls_RAW_CP_xgb.csv
hls,RAW,TDN_based_ADF,gb,0.1705788285024782,3.8470358170203185,3.1344925503638437,/workspace/reports/exp01_hls_RAW_TDN_based_ADF_gb.csv
LITBASE,RAW,TDN_based_ADF,linear,-0.7317966908441044,5.289389439402378,4.398036844998512,/workspace/reports/exp01_LITBASE_RAW_TDN_based_ADF_linear.csv
LITBASE,RAW,TDN_based_ADF,mlp,-1.636311100325318,6.122813052170257,5.023967262685112,/workspace/reports/exp01_LITBASE_RAW_TDN_based_ADF_mlp.csv
hlsIDX,RAW,TDN_based_ADF,naive,-0.5324151129015978,5.328042627757626,4.470812272399629,/workspace/reports/exp01_hlsIDX_RAW_TDN_based_ADF_naive.csv
LITBASE,RAW,TDN_based_ADF,ridge,-0.7215193309701518,5.291026181873741,4.394327143937814,/workspace/reports/exp01_LITBASE_RAW_TDN_based_ADF_ridge.csv
hls,RAW,TDN_based_ADF,xgb,0.13060260977860574,3.913811934759151,3.1509424421893146,/workspace/reports/exp01_hls_RAW_TDN_based_ADF_xgb.csv
