base,target,model,clim,r2,rmse,mae,file
D5,CP,gb,0,-1.321127595988529,2.215966207516376,1.864947229769905,/workspace/reports/exp01_hlsIDX_D5_CP_gb.csv
D5,CP,gb,1,-1.5639919922955958,2.402108120033657,2.1065662822612867,/workspace/reports/exp01_hlsIDX_D5_CP_gb_clim.csv
D5,CP,linear,0,-1.9757432324760096,2.518480073976036,2.04015179920016,/workspace/reports/exp01_hlsIDX_D5_CP_linear.csv
D5,CP,linear,1,-38.34155078004842,5.235835006385968,4.814926494745053,/workspace/reports/exp01_hlsIDX_D5_CP_linear_clim.csv
D5,CP,mlp,0,-1.9303239113665391,2.456724218731323,2.1344374955005603,/workspace/reports/exp01_hlsIDX_D5_CP_mlp.csv
D5,CP,mlp,1,-1.7753276759388223,2.1949357603954605,1.9624698194225045,/workspace/reports/exp01_hlsIDX_D5_CP_mlp_clim.csv
D5,CP,naive,0,-2.665668183535149,2.825616323348103,2.441676056437821,/workspace/reports/exp01_hlsIDX_D5_CP_naive.csv
D5,CP,ridge,0,-3.1392335411604835,2.8173343934610973,2.369125072533969,/workspace/reports/exp01_hlsIDX_D5_CP_ridge.csv
D5,CP,ridge,1,-31.261807753031636,4.707859127539878,4.381949692751317,/workspace/reports/exp01_hlsIDX_D5_CP_ridge_clim.csv
D5,CP,xgb,0,-1.3542926615100397,2.281274981172154,1.9462558378907155,/workspace/reports/exp01_hlsIDX_D5_CP_xgb.csv
D5,CP,xgb,1,-1.089230126942175,2.2212604577227784,1.9287918810759024,/workspace/reports/exp01_hlsIDX_D5_CP_xgb_clim.csv
D5,TDN_based_ADF,gb,0,-0.0042702279205858,3.9886221303720695,3.2185631044804657,/workspace/reports/exp01_hlsIDX_D5_TDN_based_ADF_gb.csv
D5,TDN_based_ADF,gb,1,-0.0870258890300373,4.247263554153033,3.4309430119436746,/workspace/reports/exp01_hlsIDX_D5_TDN_based_ADF_gb_clim.csv
D5,TDN_based_ADF,linear,0,-0.7636156091247532,5.425829435761054,4.496048080609376,/workspace/reports/exp01_hlsIDX_D5_TDN_based_ADF_linear.csv
D5,TDN_based_ADF,linear,1,-32.61197581896825,11.784365470325035,10.699343680843382,/workspace/reports/exp01_hlsIDX_D5_TDN_based_ADF_linear_clim.csv
D5,TDN_based_ADF,mlp,0,-2.5472677361717384,6.471548716961022,5.508761174430664,/workspace/reports/exp01_hlsIDX_D5_TDN_based_ADF_mlp.csv
D5,TDN_based_ADF,mlp,1,-7.296153797595661,10.079433780531113,9.298869393156648,/workspace/reports/exp01_hlsIDX_D5_TDN_based_ADF_mlp_clim.csv
D5,TDN_based_ADF,naive,0,-0.4552029945370792,5.145680633442741,4.201899418480414,/workspace/reports/exp01_hlsIDX_D5_TDN_based_ADF_naive.csv
D5,TDN_based_ADF,ridge,0,-1.0018205486536855,5.73304255124917,4.812619945574979,/workspace/reports/exp01_hlsIDX_D5_TDN_based_ADF_ridge.csv
D5,TDN_based_ADF,ridge,1,-24.26741502611589,10.513993825975662,9.614845255674282,/workspace/reports/exp01_hlsIDX_D5_TDN_based_ADF_ridge_clim.csv
D5,TDN_based_ADF,xgb,0,0.0068161808840638,3.980881995785466,3.1958454067057778,/workspace/reports/exp01_hlsIDX_D5_TDN_based_ADF_xgb.csv
D5,TDN_based_ADF,xgb,1,-0.1156794387289688,4.395795970251539,3.5247868533034983,/workspace/reports/exp01_hlsIDX_D5_TDN_based_ADF_xgb_clim.csv
D7,CP,gb,0,-1.3106292557353332,2.2721372947689646,1.910911795525745,/workspace/reports/exp01_hlsIDX_D7_CP_gb.csv
D7,CP,gb,1,-1.5443554561781572,2.3951580848602885,2.0561571556904363,/workspace/reports/exp01_hlsIDX_D7_CP_gb_clim.csv
D7,CP,linear,0,-1.842404812345518,2.532896050722501,2.0731647572134246,/workspace/reports/exp01_hlsIDX_D7_CP_linear.csv
D7,CP,linear,1,-10.770507287165316,3.668987882928256,3.249566787335237,/workspace/reports/exp01_hlsIDX_D7_CP_linear_clim.csv
D7,CP,mlp,0,-1.2537472726316496,2.2127525551874,1.8594409369950662,/workspace/reports/exp01_hlsIDX_D7_CP_mlp.csv
D7,CP,mlp,1,-2.040412699004658,2.383530533382144,2.075779439194181,/workspace/reports/exp01_hlsIDX_D7_CP_mlp_clim.csv
D7,CP,naive,0,-2.3461085550501,2.738185005231579,2.330374297518333,/workspace/reports/exp01_hlsIDX_D7_CP_naive.csv
D7,CP,ridge,0,-2.705057482813446,2.712036220786136,2.285938650270765,/workspace/reports/exp01_hlsIDX_D7_CP_ridge.csv
D7,CP,ridge,1,-8.410337542461594,3.233490798629108,2.878785201591098,/workspace/reports/exp01_hlsIDX_D7_CP_ridge_clim.csv
D7,CP,xgb,0,-1.300433987339939,2.284160595252527,1.9146660126925497,/workspace/reports/exp01_hlsIDX_D7_CP_xgb.csv
D7,CP,xgb,1,-1.087295659631192,2.201040317051201,1.885676540815908,/workspace/reports/exp01_hlsIDX_D7_CP_xgb_clim.csv
D7,TDN_based_ADF,gb,0,0.0327308086880484,3.911999906328559,3.1547434028451207,/workspace/reports/exp01_hlsIDX_D7_TDN_based_ADF_gb.csv
D7,TDN_based_ADF,gb,1,0.0458480952609313,3.987018667177665,3.204429492670485,/workspace/reports/exp01_hlsIDX_D7_TDN_based_ADF_gb_clim.csv
D7,TDN_based_ADF,linear,0,-1.202254379103895,5.760400321669662,4.711526084726865,/workspace/reports/exp01_hlsIDX_D7_TDN_based_ADF_linear.csv
D7,TDN_based_ADF,linear,1,-15.0389852955797,8.89448018343011,7.988768525680366,/workspace/reports/exp01_hlsIDX_D7_TDN_based_ADF_linear_clim.csv
D7,TDN_based_ADF,mlp,0,-1.0045809697532577,5.234229000656862,4.425864470218543,/workspace/reports/exp01_hlsIDX_D7_TDN_based_ADF_mlp.csv
D7,TDN_based_ADF,mlp,1,-5.694529079852933,9.954847364168058,9.343528135724727,/workspace/reports/exp01_hlsIDX_D7_TDN_based_ADF_mlp_clim.csv
D7,TDN_based_ADF,naive,0,-0.4501775227133862,5.206238798949116,4.318862277110802,/workspace/reports/exp01_hlsIDX_D7_TDN_based_ADF_naive.csv
D7,TDN_based_ADF,ridge,0,-0.934523143014534,5.712129914495921,4.789090978821485,/workspace/reports/exp01_hlsIDX_D7_TDN_based_ADF_ridge.csv
D7,TDN_based_ADF,ridge,1,-12.217112771978,8.133295768954161,7.314446429466827,/workspace/reports/exp01_hlsIDX_D7_TDN_based_ADF_ridge_clim.csv
D7,TDN_based_ADF,xgb,0,0.0712621157968271,3.7770001733612646,3.0653823739617523,/workspace/reports/exp01_hlsIDX_D7_TDN_based_ADF_xgb.csv
