base,target,model,r2_with,r2_without,Δr2,rmse_with,rmse_without,Δrmse(+)↓,mae_with,mae_without,Δmae(+)↓
D5,CP,gb,-1.5639919922955958,-1.321127595988529,-0.2428643963070669,2.402108120033657,2.215966207516376,-0.18614191251728096,2.1065662822612867,1.864947229769905,-0.24161905249138171
D5,CP,linear,-38.34155078004842,-1.9757432324760096,-36.365807547572416,5.235835006385968,2.518480073976036,-2.717354932409932,4.814926494745053,2.04015179920016,-2.7747746955448926
D5,CP,mlp,-1.7753276759388223,-1.9303239113665391,0.1549962354277168,2.1949357603954605,2.456724218731323,0.26178845833586273,1.9624698194225045,2.1344374955005603,0.17196767607805574
D5,CP,naive,,-2.665668183535149,,,2.825616323348103,,,2.441676056437821,
D5,CP,ridge,-31.261807753031636,-3.1392335411604835,-28.122574211871154,4.707859127539878,2.8173343934610973,-1.890524734078781,4.381949692751317,2.369125072533969,-2.0128246202173483
D5,CP,xgb,-1.089230126942175,-1.3542926615100397,0.26506253456786477,2.2212604577227784,2.281274981172154,0.060014523449375634,1.9287918810759024,1.9462558378907155,0.017463956814813164
D5,TDN_based_ADF,gb,-0.0870258890300373,-0.0042702279205858,-0.0827556611094515,4.247263554153033,3.9886221303720695,-0.25864142378096355,3.4309430119436746,3.2185631044804657,-0.2123799074632089
D5,TDN_based_ADF,linear,-32.61197581896825,-0.7636156091247532,-31.848360209843495,11.784365470325035,5.425829435761054,-6.358536034563981,10.699343680843382,4.496048080609376,-6.203295600234006
D5,TDN_based_ADF,mlp,-7.296153797595661,-2.5472677361717384,-4.7488860614239226,10.079433780531113,6.471548716961022,-3.607885063570091,9.298869393156648,5.508761174430664,-3.790108218725984
D5,TDN_based_ADF,naive,,-0.4552029945370792,,,5.145680633442741,,,4.201899418480414,
D5,TDN_based_ADF,ridge,-24.26741502611589,-1.0018205486536855,-23.265594477462205,10.513993825975662,5.73304255124917,-4.780951274726492,9.614845255674282,4.812619945574979,-4.8022253100993035
D5,TDN_based_ADF,xgb,-0.1156794387289688,0.0068161808840638,-0.1224956196130326,4.395795970251539,3.980881995785466,-0.41491397446607303,3.5247868533034983,3.1958454067057778,-0.3289414465977205
