base,target,model,clim,r2,rmse,mae,file
D5,CP,gb,0,-0.3448156326485401,1.7621378688518718,1.5305107010368002,/workspace/reports/exp01_hls_D5_CP_gb.csv
D5,CP,gb,1,-0.6534729653175974,1.9631465789724891,1.7047990592187756,/workspace/reports/exp01_hls_D5_CP_gb_clim.csv
D5,CP,linear,0,-3.308522734168581,2.7761756556469472,2.375513930781008,/workspace/reports/exp01_hls_D5_CP_linear.csv
D5,CP,linear,1,-47.393035207771405,5.695145372900077,5.376258743488007,/workspace/reports/exp01_hls_D5_CP_linear_clim.csv
D5,CP,mlp,0,-1.2151801633741002,2.238910970376841,1.972561782170988,/workspace/reports/exp01_hls_D5_CP_mlp.csv
D5,CP,mlp,1,-0.9715636005884339,2.0577007092714847,1.8165316735320072,/workspace/reports/exp01_hls_D5_CP_mlp_clim.csv
D5,CP,naive,0,-2.665668183535149,2.825616323348103,2.441676056437821,/workspace/reports/exp01_hls_D5_CP_naive.csv
D5,CP,ridge,0,-3.1245116445389365,2.756990074129964,2.413942946857428,/workspace/reports/exp01_hls_D5_CP_ridge.csv
D5,CP,ridge,1,-23.06498217255849,4.457219321582891,4.184373254892188,/workspace/reports/exp01_hls_D5_CP_ridge_clim.csv
D5,CP,xgb,0,-0.3127616718792417,1.7644835643944794,1.5195257918989744,/workspace/reports/exp01_hls_D5_CP_xgb.csv
D5,CP,xgb,1,-0.3282707098732814,1.7925159407674012,1.5587661128449215,/workspace/reports/exp01_hls_D5_CP_xgb_clim.csv
D5,TDN_based_ADF,gb,0,0.0393904573448164,4.00194759430431,3.280713845848958,/workspace/reports/exp01_hls_D5_TDN_based_ADF_gb.csv
D5,TDN_based_ADF,gb,1,-0.1031020065671944,4.277685405508527,3.411876527473241,/workspace/reports/exp01_hls_D5_TDN_based_ADF_gb_clim.csv
D5,TDN_based_ADF,linear,0,-4.796296093302372,7.826183631318019,6.072798100716814,/workspace/reports/exp01_hls_D5_TDN_based_ADF_linear.csv
D5,TDN_based_ADF,linear,1,-28.17041863451545,12.318601632104922,10.815149213431017,/workspace/reports/exp01_hls_D5_TDN_based_ADF_linear_clim.csv
D5,TDN_based_ADF,mlp,0,-20.253992409969552,14.667468591756581,13.338317830668986,/workspace/reports/exp01_hls_D5_TDN_based_ADF_mlp.csv
D5,TDN_based_ADF,mlp,1,-13.100135145540651,14.020012041566178,12.63233007186739,/workspace/reports/exp01_hls_D5_TDN_based_ADF_mlp_clim.csv
D5,TDN_based_ADF,ridge,0,-2.41659268377588,6.470245591728282,5.345116018054043,/workspace/reports/exp01_hls_D5_TDN_based_ADF_ridge.csv
D5,TDN_based_ADF,ridge,1,-11.3347770213265,8.805636681193846,7.738904786996903,/workspace/reports/exp01_hls_D5_TDN_based_ADF_ridge_clim.csv
D5,TDN_based_ADF,xgb,0,0.0330811672214393,4.00694688198933,3.290376530448309,/workspace/reports/exp01_hls_D5_TDN_based_ADF_xgb.csv
D5,TDN_based_ADF,xgb,1,-0.0573557529655842,4.134194311569193,3.2907581785578346,/workspace/reports/exp01_hls_D5_TDN_based_ADF_xgb_clim.csv
D7,CP,gb,0,-0.277259566066757,1.802098925667372,1.5030915195997316,/workspace/reports/exp01_hls_D7_CP_gb.csv
D7,CP,gb,1,-0.4084662304639762,1.8519558862164545,1.604505547276318,/workspace/reports/exp01_hls_D7_CP_gb_clim.csv
D7,CP,linear,0,-2.704492246996602,2.575972653168532,2.158772941196172,/workspace/reports/exp01_hls_D7_CP_linear.csv
D7,CP,linear,1,-15.845944984213892,3.8964113805527503,3.536649702053749,/workspace/reports/exp01_hls_D7_CP_linear_clim.csv
D7,CP,mlp,0,-1.2656559745396927,2.2971704582145547,1.9649773854370545,/workspace/reports/exp01_hls_D7_CP_mlp.csv
D7,CP,mlp,1,-1.1047893346995081,2.1934985164636602,1.9773349595386545,/workspace/reports/exp01_hls_D7_CP_mlp_clim.csv
D7,CP,naive,0,-2.3461085550501,2.738185005231579,2.330374297518333,/workspace/reports/exp01_hls_D7_CP_naive.csv
D7,CP,ridge,0,-2.626769034704595,2.575772543397716,2.2414308464094286,/workspace/reports/exp01_hls_D7_CP_ridge.csv
D7,CP,ridge,1,-11.173892189717971,3.44877645969463,3.171463840109815,/workspace/reports/exp01_hls_D7_CP_ridge_clim.csv
D7,CP,xgb,0,-0.2702961112041686,1.7931748909304157,1.501464460406875,/workspace/reports/exp01_hls_D7_CP_xgb.csv
D7,CP,xgb,1,-0.1960457324616632,1.7442097263666767,1.47492677556536,/workspace/reports/exp01_hls_D7_CP_xgb_clim.csv
D7,TDN_based_ADF,gb,0,0.0830143531928701,3.962996016760792,3.268233006999519,/workspace/reports/exp01_hls_D7_TDN_based_ADF_gb.csv
D7,TDN_based_ADF,gb,1,0.0119336984372609,4.046358724166633,3.254411861892518,/workspace/reports/exp01_hls_D7_TDN_based_ADF_gb_clim.csv
D7,TDN_based_ADF,linear,0,-3.638484290608339,7.068555433043318,5.620376258594797,/workspace/reports/exp01_hls_D7_TDN_based_ADF_linear.csv
D7,TDN_based_ADF,linear,1,-10.48840745042792,9.491537177982718,8.102991927429368,/workspace/reports/exp01_hls_D7_TDN_based_ADF_linear_clim.csv
D7,TDN_based_ADF,mlp,0,-20.779854698233542,14.048432267139553,12.337318492812539,/workspace/reports/exp01_hls_D7_TDN_based_ADF_mlp.csv
D7,TDN_based_ADF,mlp,1,-12.288455205965892,13.703087990689209,12.301226451263862,/workspace/reports/exp01_hls_D7_TDN_based_ADF_mlp_clim.csv
D7,TDN_based_ADF,ridge,0,-2.1032785917093477,6.114762421259826,5.098973430655675,/workspace/reports/exp01_hls_D7_TDN_based_ADF_ridge.csv
D7,TDN_based_ADF,ridge,1,-6.585152495599312,7.931952460868876,6.875797997537575,/workspace/reports/exp01_hls_D7_TDN_based_ADF_ridge_clim.csv
D7,TDN_based_ADF,xgb,0,0.1736907409636126,3.744525556685938,3.050105875552133,/workspace/reports/exp01_hls_D7_TDN_based_ADF_xgb.csv
D7,TDN_based_ADF,xgb,1,0.0304442295591468,3.9782435904212488,3.191505760520282,/workspace/reports/exp01_hls_D7_TDN_based_ADF_xgb_clim.csv
RAW,CP,gb,0,-0.6847289593298049,2.101628479510044,1.7823920690517028,/workspace/reports/exp01_hls_RAW_CP_gb.csv
RAW,CP,gb,1,-0.4482383746474234,2.053692236407094,1.7744699814547336,/workspace/reports/exp01_hls_RAW_CP_gb_clim.csv
RAW,CP,linear,0,-2.673387886599011,2.8454945205671858,2.4631730972677084,/workspace/reports/exp01_hls_RAW_CP_linear.csv
RAW,CP,linear,1,-11.19392612214244,3.761974976256595,3.3821492958302133,/workspace/reports/exp01_hls_RAW_CP_linear_clim.csv
RAW,CP,mlp,0,-0.947177463651136,2.22095088238461,1.947979942473521,/workspace/reports/exp01_hls_RAW_CP_mlp.csv
RAW,CP,mlp,1,-0.4084102477647622,1.9404435460978262,1.6831177129637191,/workspace/reports/exp01_hls_RAW_CP_mlp_clim.csv
RAW,CP,naive,0,-2.31364131800224,2.8068349925532097,2.375702540505631,/workspace/reports/exp01_hls_RAW_CP_naive.csv
RAW,CP,ridge,0,-1.89887083719929,2.57682996189662,2.225551213703742,/workspace/reports/exp01_hls_RAW_CP_ridge.csv
RAW,CP,ridge,1,-8.84690137072049,3.2720465964925904,2.94609196383938,/workspace/reports/exp01_hls_RAW_CP_ridge_clim.csv
RAW,CP,xgb,0,-0.6199775054645833,2.063504595323276,1.7659780381409873,/workspace/reports/exp01_hls_RAW_CP_xgb.csv
RAW,CP,xgb,1,-0.2638885353680346,1.9632665991116256,1.6826903757117242,/workspace/reports/exp01_hls_RAW_CP_xgb_clim.csv
RAW,TDN_based_ADF,gb,0,0.1705788285024782,3.847035817020319,3.134492550363844,/workspace/reports/exp01_hls_RAW_TDN_based_ADF_gb.csv
RAW,TDN_based_ADF,gb,1,0.1791088364183969,3.7917164857745775,3.086016911734744,/workspace/reports/exp01_hls_RAW_TDN_based_ADF_gb_clim.csv
RAW,TDN_based_ADF,linear,0,-1.9757483616557143,5.894898127733564,4.975150833223479,/workspace/reports/exp01_hls_RAW_TDN_based_ADF_linear.csv
RAW,TDN_based_ADF,linear,1,-4.285877622428011,6.909602956021102,5.994679318561135,/workspace/reports/exp01_hls_RAW_TDN_based_ADF_linear_clim.csv
RAW,TDN_based_ADF,mlp,0,-6.321534973902369,9.044340761226334,7.676100062684981,/workspace/reports/exp01_hls_RAW_TDN_based_ADF_mlp.csv
RAW,TDN_based_ADF,mlp,1,-3.7579505019055404,8.883984855146357,7.953604699253346,/workspace/reports/exp01_hls_RAW_TDN_based_ADF_mlp_clim.csv
RAW,TDN_based_ADF,ridge,0,-1.487939164057659,5.407761043652648,4.537220322725825,/workspace/reports/exp01_hls_RAW_TDN_based_ADF_ridge.csv
RAW,TDN_based_ADF,ridge,1,-3.1681036718893063,6.163505791152626,5.320997093445731,/workspace/reports/exp01_hls_RAW_TDN_based_ADF_ridge_clim.csv
RAW,TDN_based_ADF,xgb,0,0.1306026097786057,3.9138119347591513,3.150942442189314,/workspace/reports/exp01_hls_RAW_TDN_based_ADF_xgb.csv
RAW,TDN_based_ADF,xgb,1,0.0954582365518811,3.938740267519408,3.197623734229728,/workspace/reports/exp01_hls_RAW_TDN_based_ADF_xgb_clim.csv
