dataset,target,model,r2,rmse,mae,source
RAW,CP,gb,-1.429,2.514,2.143,diario_raw
RAW,CP,linear,-2.673,2.846,2.463,diario_raw
RAW,CP,naive,-2.314,2.807,2.376,diario_raw
D5,CP,ridge,-3.125,2.757,2.414,log_d5
RAW,CP,xgb,-1.374,2.554,2.187,diario_raw
RAW,TDN,gb,-0.27,4.74,4.0,diario_raw
RAW,TDN,linear,-1.976,5.895,4.975,diario_raw
RAW,TDN,naive,-0.532,5.328,4.471,diario_raw
D5,TDN,ridge,-2.417,6.47,5.345,log_d5
RAW,TDN,xgb,-0.248,4.725,3.979,diario_raw
RAW (com clima),CP,(mean),,,,exp01_metrics_CP_withclimate_RAW.csv
RAW (com clima),TDN,(mean),,,,exp01_metrics_TDN_withclimate_RAW.csv
