base,target,model,r2_without,r2_with,rmse_without,rmse_with,mae_without,mae_with,dR2,dRMSE,dMAE
D5,CP,gb,-1.220506418701352,-1.0683947174664683,2.3312813831460835,2.2058229748065887,2.04691158091109,1.931833428606932,0.1521117012348836,0.12545840833949473,0.11507815230415797
D5,CP,linear,-3.308522734168581,-3.308522734168581,2.7761756556469472,2.7761756556469472,2.375513930781008,2.375513930781008,0.0,0.0,0.0
D5,CP,mlp,-0.4487645534368661,-0.3588707126103915,1.9335975958689848,1.853155571429124,1.6433209547629724,1.5775151940492482,0.08989384082647461,0.08044202443986093,0.06580576071372413
D5,CP,ridge,-3.1245116445389365,-32.3846961674232,2.756990074129964,4.79303686682904,2.413942946857428,4.532873480098753,-29.260184522884263,-2.0360467926990764,-2.118930533241325
D5,CP,xgb,-1.1999571147317298,-1.0806283884731411,2.3372289654585896,2.2319356629120244,2.0428224660768604,1.9140138371743052,0.1193287262585887,0.10529330254656522,0.12880862890255518
D5,TDN,gb,-0.6932505507094368,-0.8662455861130508,5.2497121107388365,5.711352451382454,4.247097403782044,4.781488889404389,-0.17299503540361405,-0.46164034064361736,-0.5343914856223444
D5,TDN,linear,-4.796296093302372,-4.796296093302372,7.82618363131802,7.82618363131802,6.072798100716815,6.072798100716815,0.0,0.0,0.0
D5,TDN,mlp,-10.066560914883247,-7.3578108961765585,11.684117640708346,10.625765595598835,9.7582465501932,8.97990635725168,2.708750018706689,1.05835204510951,0.7783401929415188
D5,TDN,ridge,-2.41659268377588,-3.0129153807571845,6.470245591728282,7.044943678420032,5.345116018054043,5.941943812073695,-0.5963226969813045,-0.5746980866917504,-0.596827794019652
D5,TDN,xgb,-0.8350480181949002,-0.6653330873423701,5.475542440666781,5.297384272055118,4.48615069370944,4.409147081089114,0.1697149308525301,0.17815816861166311,0.0770036126203264
D7,CP,gb,-1.0607325144927715,-1.032961971850567,2.317595827945641,2.3040268970417275,1.9590471267633391,1.951086611074548,0.027770542642204576,0.013568930903913312,0.007960515688791192
D7,CP,linear,-2.704492246996602,-2.704492246996602,2.5759726531685323,2.5759726531685323,2.158772941196172,2.158772941196172,0.0,0.0,0.0
D7,CP,mlp,-0.2639311552047729,-0.2503092368443807,1.8467110958366355,1.8740405195281216,1.537904930114746,1.5682734807332357,0.013621918360392171,-0.027329423691486054,-0.030368550618489643
D7,CP,ridge,-2.626769034704595,-12.402833833424426,2.575772543397716,3.6519071063364574,2.2414308464094286,3.372883532896133,-9.77606479871983,-1.0761345629387415,-1.1314526864867043
D7,CP,xgb,-1.0505590226647217,-0.8373027526104665,2.315346151510366,2.2160218812472485,1.977045294028392,1.8571393180402624,0.21325627005425518,0.09932427026311741,0.11990597598812958
D7,TDN,gb,-0.7340606985836435,-0.7046196963374214,5.492947041459681,5.470984509570687,4.571430442858266,4.708662673074498,0.029441002246222148,0.02196253188899444,-0.13723223021623188
D7,TDN,linear,-3.638484290608339,-3.638484290608339,7.068555433043318,7.068555433043318,5.620376258594797,5.620376258594797,0.0,0.0,0.0
D7,TDN,mlp,-6.048365183671316,-8.686217443148296,9.39693700120072,11.180903145507871,7.896816651026408,9.196771717071533,-2.63785225947698,-1.7839661443071506,-1.2999550660451247
D7,TDN,ridge,-2.1032785917093477,-6.17108493126223,6.114762421259826,8.264673585691606,5.098973430655675,7.176719359425617,-4.067806339552882,-2.1499111644317797,-2.077745928769942
D7,TDN,xgb,-0.8533552157917134,-0.5942959249226136,5.686836257425793,5.433680897112809,4.7286674595873865,4.614463441229784,0.25905929086909973,0.25315536031298436,0.11420401835760252
RAW,CP,gb,-1.4286647728696422,-1.746493649873838,2.5143426937697635,2.556147130698021,2.143247637888046,2.227681220061041,-0.3178288770041957,-0.04180443692825753,-0.0844335821729949
RAW,CP,linear,-2.6733878865990115,-16.04107881064836,2.8454945205671853,4.0518459077796525,2.463173097267708,3.6739887258727166,-13.36769092404935,-1.2063513872124672,-1.2108156286050087
RAW,CP,mlp,-0.3378816814649673,-0.2690939931642441,2.092084975394848,2.090446410565173,1.7329781310898915,1.7331806549004145,0.06878768830072318,0.0016385648296748379,-0.00020252381052299206
RAW,CP,ridge,-1.89887083719929,-12.253153787335018,2.57682996189662,3.4944272679887383,2.225551213703742,3.164487210529191,-10.354282950135728,-0.9175973060921181,-0.9389359968254487
RAW,CP,xgb,-1.3744325835638382,-0.9655357110672766,2.5535795683646723,2.3361842412186085,2.186883147880851,2.015852166448649,0.4088968724965616,0.2173953271460638,0.1710309814322022
RAW,TDN,gb,-0.2696017929469785,-0.2939391897337475,4.739749145912104,4.782215122907276,3.9995833960484592,4.113143240548841,-0.024337396786768994,-0.04246597699517185,-0.11355984450038203
RAW,TDN,linear,-1.9757483616557148,-1.9757483616557148,5.894898127733562,5.894898127733562,4.975150833223479,4.975150833223479,0.0,0.0,0.0
RAW,TDN,mlp,-4.924976136003222,-5.92133428085418,8.292969942424532,9.377609502103567,6.857204073951358,7.918313503265381,-0.9963581448509577,-1.0846395596790348,-1.0611094293140226
RAW,TDN,ridge,-1.487939164057659,-3.860163006728635,5.407761043652648,6.445667725764865,4.537220322725825,5.643721201234618,-2.372223842670976,-1.037906682112217,-1.1065008785087924
RAW,TDN,xgb,-0.2483505554839453,-0.358715181478308,4.7250272199625485,5.002971676849609,3.9785823065716426,4.287697375005116,-0.1103646259943627,-0.2779444568870604,-0.3091150684334738
