base,target,model,without,with,path_without,path_with
RAW,CP,naive,True,False,/workspace/reports/exp01_RAW_CP_naive.csv,/workspace/reports/exp01_RAW_CP_naive_clim.csv
RAW,CP,linear,True,True,/workspace/reports/exp01_RAW_CP_linear.csv,/workspace/reports/exp01_RAW_CP_linear_clim.csv
RAW,CP,ridge,True,True,/workspace/reports/exp01_RAW_CP_ridge.csv,/workspace/reports/exp01_RAW_CP_ridge_clim.csv
RAW,CP,gb,True,True,/workspace/reports/exp01_RAW_CP_gb.csv,/workspace/reports/exp01_RAW_CP_gb_clim.csv
RAW,CP,xgb,True,True,/workspace/reports/exp01_RAW_CP_xgb.csv,/workspace/reports/exp01_RAW_CP_xgb_clim.csv
RAW,CP,mlp,True,True,/workspace/reports/exp01_RAW_CP_mlp.csv,/workspace/reports/exp01_RAW_CP_mlp_clim.csv
RAW,TDN,naive,True,False,/workspace/reports/exp01_RAW_TDN_naive.csv,/workspace/reports/exp01_RAW_TDN_naive_clim.csv
RAW,TDN,linear,True,True,/workspace/reports/exp01_RAW_TDN_linear.csv,/workspace/reports/exp01_RAW_TDN_linear_clim.csv
RAW,TDN,ridge,True,True,/workspace/reports/exp01_RAW_TDN_ridge.csv,/workspace/reports/exp01_RAW_TDN_ridge_clim.csv
RAW,TDN,gb,True,True,/workspace/reports/exp01_RAW_TDN_gb.csv,/workspace/reports/exp01_RAW_TDN_gb_clim.csv
RAW,TDN,xgb,True,True,/workspace/reports/exp01_RAW_TDN_xgb.csv,/workspace/reports/exp01_RAW_TDN_xgb_clim.csv
RAW,TDN,mlp,True,True,/workspace/reports/exp01_RAW_TDN_mlp.csv,/workspace/reports/exp01_RAW_TDN_mlp_clim.csv
D5,CP,naive,True,False,/workspace/reports/exp01_D5_CP_naive.csv,/workspace/reports/exp01_D5_CP_naive_clim.csv
D5,CP,linear,True,True,/workspace/reports/exp01_D5_CP_linear.csv,/workspace/reports/exp01_D5_CP_linear_clim.csv
D5,CP,ridge,True,True,/workspace/reports/exp01_D5_CP_ridge.csv,/workspace/reports/exp01_D5_CP_ridge_clim.csv
D5,CP,gb,True,True,/workspace/reports/exp01_D5_CP_gb.csv,/workspace/reports/exp01_D5_CP_gb_clim.csv
D5,CP,xgb,True,True,/workspace/reports/exp01_D5_CP_xgb.csv,/workspace/reports/exp01_D5_CP_xgb_clim.csv
D5,CP,mlp,True,True,/workspace/reports/exp01_D5_CP_mlp.csv,/workspace/reports/exp01_D5_CP_mlp_clim.csv
D5,TDN,naive,True,False,/workspace/reports/exp01_D5_TDN_naive.csv,/workspace/reports/exp01_D5_TDN_naive_clim.csv
D5,TDN,linear,True,True,/workspace/reports/exp01_D5_TDN_linear.csv,/workspace/reports/exp01_D5_TDN_linear_clim.csv
D5,TDN,ridge,True,True,/workspace/reports/exp01_D5_TDN_ridge.csv,/workspace/reports/exp01_D5_TDN_ridge_clim.csv
D5,TDN,gb,True,True,/workspace/reports/exp01_D5_TDN_gb.csv,/workspace/reports/exp01_D5_TDN_gb_clim.csv
D5,TDN,xgb,True,True,/workspace/reports/exp01_D5_TDN_xgb.csv,/workspace/reports/exp01_D5_TDN_xgb_clim.csv
D5,TDN,mlp,True,True,/workspace/reports/exp01_D5_TDN_mlp.csv,/workspace/reports/exp01_D5_TDN_mlp_clim.csv
D7,CP,naive,True,False,/workspace/reports/exp01_D7_CP_naive.csv,/workspace/reports/exp01_D7_CP_naive_clim.csv
D7,CP,linear,True,True,/workspace/reports/exp01_D7_CP_linear.csv,/workspace/reports/exp01_D7_CP_linear_clim.csv
D7,CP,ridge,True,True,/workspace/reports/exp01_D7_CP_ridge.csv,/workspace/reports/exp01_D7_CP_ridge_clim.csv
D7,CP,gb,True,True,/workspace/reports/exp01_D7_CP_gb.csv,/workspace/reports/exp01_D7_CP_gb_clim.csv
D7,CP,xgb,True,True,/workspace/reports/exp01_D7_CP_xgb.csv,/workspace/reports/exp01_D7_CP_xgb_clim.csv
D7,CP,mlp,True,True,/workspace/reports/exp01_D7_CP_mlp.csv,/workspace/reports/exp01_D7_CP_mlp_clim.csv
D7,TDN,naive,True,False,/workspace/reports/exp01_D7_TDN_naive.csv,/workspace/reports/exp01_D7_TDN_naive_clim.csv
D7,TDN,linear,True,True,/workspace/reports/exp01_D7_TDN_linear.csv,/workspace/reports/exp01_D7_TDN_linear_clim.csv
D7,TDN,ridge,True,True,/workspace/reports/exp01_D7_TDN_ridge.csv,/workspace/reports/exp01_D7_TDN_ridge_clim.csv
D7,TDN,gb,True,True,/workspace/reports/exp01_D7_TDN_gb.csv,/workspace/reports/exp01_D7_TDN_gb_clim.csv
D7,TDN,xgb,True,True,/workspace/reports/exp01_D7_TDN_xgb.csv,/workspace/reports/exp01_D7_TDN_xgb_clim.csv
D7,TDN,mlp,True,True,/workspace/reports/exp01_D7_TDN_mlp.csv,/workspace/reports/exp01_D7_TDN_mlp_clim.csv
