SampleID,mode,has_item,in_window,n_scenes_window,scene_datetimes,cloud_frac_median
1,d7,1,1,2,"2022-07-02T13:58:13.553340,2022-07-07T13:58:21.502550",0.0
1,d7,1,1,2,"2022-07-02T13:58:13.553340,2022-07-07T13:58:21.502550",0.0
2,d7,1,1,2,"2022-07-02T13:58:13.553340,2022-07-07T13:58:21.502550",0.0
2,d7,1,1,2,"2022-07-02T13:58:13.553340,2022-07-07T13:58:21.502550",0.0
3,d7,1,1,2,"2022-07-02T13:58:13.553340,2022-07-07T13:58:21.502550",0.0
3,d7,1,1,2,"2022-07-02T13:58:13.553340,2022-07-07T13:58:21.502550",0.0
4,d7,1,1,2,"2022-07-02T13:58:13.553340,2022-07-07T13:58:21.502550",0.0
4,d7,1,1,2,"2022-07-02T13:58:13.553340,2022-07-07T13:58:21.502550",0.0
5,d7,1,1,2,"2022-07-02T13:58:13.553340,2022-07-07T13:58:21.502550",0.0
5,d7,1,1,2,"2022-07-02T13:58:13.553340,2022-07-07T13:58:21.502550",0.0
6,d7,1,1,2,"2022-07-02T13:58:13.553340,2022-07-07T13:58:21.502550",0.0
6,d7,1,1,2,"2022-07-02T13:58:13.553340,2022-07-07T13:58:21.502550",0.0
7,d7,1,1,2,"2022-07-02T13:58:13.553340,2022-07-07T13:58:21.502550",0.0
7,d7,1,1,2,"2022-07-02T13:58:13.553340,2022-07-07T13:58:21.502550",0.0
8,d7,1,1,2,"2022-07-02T13:58:13.553340,2022-07-07T13:58:21.502550",0.0
8,d7,1,1,2,"2022-07-02T13:58:13.553340,2022-07-07T13:58:21.502550",0.0
9,d7,1,1,2,"2022-07-22T13:58:13.448350,2022-07-27T13:58:18.121730",0.0
9,d7,1,1,2,"2022-07-22T13:58:13.448350,2022-07-27T13:58:18.121730",0.0
10,d7,1,1,2,"2022-07-22T13:58:13.448350,2022-07-27T13:58:18.121730",0.0
10,d7,1,1,2,"2022-07-22T13:58:13.448350,2022-07-27T13:58:18.121730",0.0
11,d7,1,1,2,"2022-07-22T13:58:13.448350,2022-07-27T13:58:18.121730",0.0
11,d7,1,1,2,"2022-07-22T13:58:13.448350,2022-07-27T13:58:18.121730",0.0
12,d7,1,1,2,"2022-07-22T13:58:13.448350,2022-07-27T13:58:18.121730",0.0
12,d7,1,1,2,"2022-07-22T13:58:13.448350,2022-07-27T13:58:18.121730",0.0
13,d7,1,1,2,"2022-07-22T13:58:13.448350,2022-07-27T13:58:18.121730",0.0
13,d7,1,1,2,"2022-07-22T13:58:13.448350,2022-07-27T13:58:18.121730",0.0
14,d7,1,1,2,"2022-07-22T13:58:13.448350,2022-07-27T13:58:18.121730",0.0
14,d7,1,1,2,"2022-07-22T13:58:13.448350,2022-07-27T13:58:18.121730",0.0
15,d7,1,1,2,"2022-04-28T13:58:13.639010,2022-05-08T13:58:12.661330",0.0
15,d7,1,1,2,"2022-04-28T13:58:13.639010,2022-05-08T13:58:12.661330",0.0
16,d7,1,1,2,"2022-04-28T13:58:13.639010,2022-05-08T13:58:12.661330",0.0
16,d7,1,1,2,"2022-04-28T13:58:13.639010,2022-05-08T13:58:12.661330",0.0
17,d7,1,1,2,"2022-04-28T13:58:13.639010,2022-05-08T13:58:12.661330",0.0
17,d7,1,1,2,"2022-04-28T13:58:13.639010,2022-05-08T13:58:12.661330",0.0
18,d7,1,1,2,"2022-04-28T13:58:13.639010,2022-05-08T13:58:12.661330",0.0
18,d7,1,1,2,"2022-04-28T13:58:13.639010,2022-05-08T13:58:12.661330",0.0
19,d7,1,1,2,"2022-04-28T13:58:13.639010,2022-05-08T13:58:12.661330",0.0
19,d7,1,1,2,"2022-04-28T13:58:13.639010,2022-05-08T13:58:12.661330",0.0
20,d7,1,1,2,"2022-04-28T13:58:13.639010,2022-05-08T13:58:12.661330",0.0
20,d7,1,1,2,"2022-04-28T13:58:13.639010,2022-05-08T13:58:12.661330",0.0
21,d7,1,1,2,"2022-04-28T13:58:13.639010,2022-05-08T13:58:12.661330",0.0
21,d7,1,1,2,"2022-04-28T13:58:13.639010,2022-05-08T13:58:12.661330",0.0
22,d7,1,1,2,"2022-04-28T13:58:13.639010,2022-05-08T13:58:12.661330",0.0
22,d7,1,1,2,"2022-04-28T13:58:13.639010,2022-05-08T13:58:12.661330",0.0
23,d7,1,1,2,"2022-04-28T13:58:13.639010,2022-05-08T13:58:12.661330",0.0
23,d7,1,1,2,"2022-04-28T13:58:13.639010,2022-05-08T13:58:12.661330",0.0
24,d7,1,1,2,"2022-04-28T13:58:13.639010,2022-05-08T13:58:12.661330",0.0
24,d7,1,1,2,"2022-04-28T13:58:13.639010,2022-05-08T13:58:12.661330",0.0
25,d7,1,1,2,"2022-05-28T13:58:16.091600,2022-06-07T13:58:16.748900",0.0
25,d7,1,1,2,"2022-05-28T13:58:16.091600,2022-06-07T13:58:16.748900",0.0
26,d7,1,1,2,"2022-05-28T13:58:16.091600,2022-06-07T13:58:16.748900",0.0
26,d7,1,1,2,"2022-05-28T13:58:16.091600,2022-06-07T13:58:16.748900",0.0
27,d7,1,1,2,"2022-05-28T13:58:16.091600,2022-06-07T13:58:16.748900",0.0
27,d7,1,1,2,"2022-05-28T13:58:16.091600,2022-06-07T13:58:16.748900",0.0
28,d7,1,1,2,"2022-05-28T13:58:16.091600,2022-06-07T13:58:16.748900",0.0
28,d7,1,1,2,"2022-05-28T13:58:16.091600,2022-06-07T13:58:16.748900",0.0
29,d7,1,1,2,"2022-05-28T13:58:16.091600,2022-06-07T13:58:16.748900",0.0
29,d7,1,1,2,"2022-05-28T13:58:16.091600,2022-06-07T13:58:16.748900",0.0
30,d7,1,1,2,"2022-05-28T13:58:16.091600,2022-06-07T13:58:16.748900",0.0
30,d7,1,1,2,"2022-05-28T13:58:16.091600,2022-06-07T13:58:16.748900",0.0
31,d7,1,1,2,"2022-05-28T13:58:16.091600,2022-06-07T13:58:16.748900",0.0
31,d7,1,1,2,"2022-05-28T13:58:16.091600,2022-06-07T13:58:16.748900",0.0
32,d7,1,1,2,"2022-05-28T13:58:16.091600,2022-06-07T13:58:16.748900",0.0
32,d7,1,1,2,"2022-05-28T13:58:16.091600,2022-06-07T13:58:16.748900",0.0
