SampleID,mode,has_item,scene_id,scene_datetime,abs_days,used
1,raw,1,HLS.S30.T21KYT.2022188T134721.v2.0,2022-07-07T13:58:21.502550,1,1
1,raw,1,HLS.S30.T21KYT.2022188T134721.v2.0,2022-07-07T13:58:21.502550,1,1
2,raw,1,HLS.S30.T21KYT.2022188T134721.v2.0,2022-07-07T13:58:21.502550,1,1
2,raw,1,HLS.S30.T21KYT.2022188T134721.v2.0,2022-07-07T13:58:21.502550,1,1
3,raw,1,HLS.S30.T21KYT.2022188T134721.v2.0,2022-07-07T13:58:21.502550,1,1
3,raw,1,HLS.S30.T21KYT.2022188T134721.v2.0,2022-07-07T13:58:21.502550,1,1
4,raw,1,HLS.S30.T21KYT.2022188T134721.v2.0,2022-07-07T13:58:21.502550,1,1
4,raw,1,HLS.S30.T21KYT.2022188T134721.v2.0,2022-07-07T13:58:21.502550,1,1
5,raw,1,HLS.S30.T21KYT.2022188T134721.v2.0,2022-07-07T13:58:21.502550,1,1
5,raw,1,HLS.S30.T21KYT.2022188T134721.v2.0,2022-07-07T13:58:21.502550,1,1
6,raw,1,HLS.S30.T21KYT.2022188T134721.v2.0,2022-07-07T13:58:21.502550,1,1
6,raw,1,HLS.S30.T21KYT.2022188T134721.v2.0,2022-07-07T13:58:21.502550,1,1
7,raw,1,HLS.S30.T21KYT.2022188T134721.v2.0,2022-07-07T13:58:21.502550,1,1
7,raw,1,HLS.S30.T21KYT.2022188T134721.v2.0,2022-07-07T13:58:21.502550,1,1
8,raw,1,HLS.S30.T21KYT.2022188T134721.v2.0,2022-07-07T13:58:21.502550,1,1
8,raw,1,HLS.S30.T21KYT.2022188T134721.v2.0,2022-07-07T13:58:21.502550,1,1
9,raw,1,HLS.S30.T21KYT.2022203T134709.v2.0,2022-07-22T13:58:13.448350,1,1
9,raw,1,HLS.S30.T21KYT.2022203T134709.v2.0,2022-07-22T13:58:13.448350,1,1
10,raw,1,HLS.S30.T21KYT.2022203T134709.v2.0,2022-07-22T13:58:13.448350,1,1
10,raw,1,HLS.S30.T21KYT.2022203T134709.v2.0,2022-07-22T13:58:13.448350,1,1
11,raw,1,HLS.S30.T21KYT.2022203T134709.v2.0,2022-07-22T13:58:13.448350,1,1
11,raw,1,HLS.S30.T21KYT.2022203T134709.v2.0,2022-07-22T13:58:13.448350,1,1
